word,topic_id,importance,word_count
negative,0,0.71829265,10541
none,0,0.0154371355,227
party,0,0.0077997744,95
smoke,0,0.006719724,129
smoking,0,0.0056528286,130
spotty,0,0.0046653766,73
closer,0,0.004584225,73
till,0,0.003745916,42
happen,0,0.0035276604,53
example,0,0.003474316,45
bed,1,0.055318,2421
location,1,0.036274794,1026
little,1,0.032688443,1788
great,1,0.032569148,946
bit,1,0.03002271,1660
everything,1,0.027946547,793
good,1,0.025413282,1192
area,1,0.021376658,998
hotel,1,0.018512737,5474
pool,1,0.01763944,452
room,2,0.059813812,13333
night,2,0.029736279,1998
hotel,2,0.025918873,5474
window,2,0.020223144,895
street,2,0.018420493,816
noise,2,0.018045953,772
view,2,0.015247595,695
open,2,0.014163728,635
door,2,0.012695217,1097
floor,2,0.011441595,1307
room,3,0.055458218,13333
wifi,3,0.026452398,865
work,3,0.023473307,973
elevator,3,0.021242317,845
day,3,0.018121142,1673
need,3,0.017395427,957
time,3,0.01666391,1591
slow,3,0.014912707,455
poor,3,0.014750078,500
desk,3,0.012758191,1160
hotel,4,0.036757965,5474
breakfast,4,0.02851027,2867
nothing,4,0.02326531,2147
staff,4,0.023148442,2596
room,4,0.014626457,13333
stay,4,0.008814194,1363
check,4,0.008795068,860
day,4,0.008737556,1673
get,4,0.008236907,1741
desk,4,0.007845591,1160
room,5,0.13011739,13333
small,5,0.05418804,3426
bathroom,5,0.039133575,2063
shower,5,0.03721927,1856
water,5,0.01651165,935
little,5,0.015031887,1788
bit,5,0.013545693,1660
bed,5,0.012827693,2421
noisy,5,0.01031854,521
space,5,0.009976788,573
