word,topic_id,importance,word_count
staff,0,0.18771747,16209
helpful,0,0.09376546,7033
friendly,0,0.06588825,5732
excellent,0,0.026195088,4449
desk,0,0.024536813,1534
front,0,0.024053363,1489
wonderful,0,0.015892092,2060
extremely,0,0.015529153,1171
stay,0,0.013515836,2920
hotel,0,0.013367946,10519
breakfast,1,0.17776905,6537
good,1,0.098235935,5379
location,1,0.061660968,15664
excellent,1,0.059726648,4449
positive,1,0.044229552,1947
great,1,0.042443074,10665
service,1,0.034486603,2401
food,1,0.026217563,1243
nice,1,0.02452183,5401
buffet,1,0.023916852,834
room,2,0.12371158,13450
comfortable,2,0.062070757,4675
clean,2,0.06080828,4477
nice,2,0.05393567,5401
staff,2,0.04956313,16209
bed,2,0.048316948,3737
location,2,0.02805945,15664
great,2,0.02696639,10665
modern,2,0.023065131,1545
bathroom,2,0.022317026,1697
hotel,3,0.047509264,10519
room,3,0.027181225,13450
stay,3,0.01755099,2920
day,3,0.011140829,1229
get,3,0.010327478,1093
minute,3,0.009933921,1071
also,3,0.009550122,1680
night,3,0.009314241,1036
best,3,0.009025026,1175
time,3,0.0088133095,1095
location,4,0.17681977,15664
great,4,0.11435849,10665
everything,4,0.05574039,2148
hotel,4,0.050936565,10519
beautiful,4,0.04690645,1842
loved,4,0.044508137,1849
view,4,0.04275823,1708
perfect,4,0.040286306,2082
amazing,4,0.028657245,1631
room,4,0.028583055,13450
location,5,0.066288516,15664
close,5,0.05177394,2782
station,5,0.046374943,2469
restaurant,5,0.035860807,3256
walk,5,0.034088057,2127
train,5,0.031141367,1305
easy,5,0.029108558,1523
great,5,0.027896551,10665
walking,5,0.027631052,1535
metro,5,0.026008015,1370
