시점,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2020.01,131105,1961,1715,3733,3714,4603,4536,4284,5477,3072,2827,6302,5019,5283,5279,4989,6494,4687,3004,5234,5133,8347,6076,9024,9544,10768
2020.02,170587,2765,2302,3985,5003,5811,6260,4910,7704,3760,3657,8328,6260,6869,7622,6959,8129,5579,3186,9224,7313,10209,7906,11266,11556,14024
2020.03,164402,2581,2226,3798,4941,5830,6636,5564,7076,4282,3836,7261,6494,7049,7359,5242,8871,5646,3405,8958,7148,10613,6043,8222,10280,15041
2020.04,127208,1912,1659,3008,3702,4729,4492,4716,5124,3734,3551,5344,6412,4520,5323,6593,7176,4548,2829,6160,5465,8115,4623,6544,7797,9132
2020.05,117734,1642,1623,2911,3528,4275,3948,4575,4800,3379,3301,4693,6015,3589,5227,6456,6553,4661,2838,5144,4993,8311,4982,6448,7144,6698
2020.06,122292,1790,1628,3046,3581,4511,4192,4470,4822,3625,3227,4936,8577,3723,4687,5049,6925,5260,2955,5938,5071,8525,5645,6576,7430,6103
2020.07,115625,1725,1479,2876,3332,3983,3776,5020,4496,3139,3098,4545,8103,3481,4651,4683,6642,4802,2455,5326,4578,7340,5375,6870,8416,5434
2020.08,123804,1803,1584,2977,3286,4218,4291,7098,4441,3049,3037,4922,6314,4792,4981,4844,6996,5619,3167,6530,4832,7679,5197,7493,8843,5811
2020.09,127908,2038,1814,3831,3550,4323,4513,5705,4736,3456,3506,5260,6389,5242,5736,4653,7295,5794,3233,5978,5087,7426,5666,7101,8411,7165
2020.10,126788,1771,1530,3590,3714,4497,4057,4790,4901,3226,3711,5108,5809,4047,5164,5045,7423,5061,2892,7013,4926,6676,7508,9327,8417,6585
2020.11,117563,1755,1556,3130,3152,4295,3947,4544,4526,3316,3284,4770,5460,3601,4873,4446,7112,4649,2847,6825,4613,6943,5746,7572,8892,5709
2020.12,133111,1889,1661,3397,3650,4851,4260,4538,4850,3587,3400,6707,5512,4308,5313,5122,7582,4579,2942,6979,5337,8117,6483,8882,10198,8967
2021.01,114415,1658,1585,2892,3298,4059,3537,4266,6304,2906,2601,5328,4490,3507,4538,4096,6247,3675,2551,5631,4646,7286,5255,7487,8829,7743
2021.02,141936,2288,1854,3768,4237,4726,5209,4499,7351,3208,3151,6149,5008,4599,5731,7471,8317,4350,2600,6206,6461,8358,6476,9379,10344,10196
2021.03,151617,2644,1966,4462,4656,5432,5640,5129,6761,3802,3754,6372,6021,4930,6599,6162,9737,5175,3388,6206,7245,9971,6102,8868,10653,9942
2021.04,117475,1817,1623,2991,3329,4431,3853,4392,4881,3372,3267,4761,5167,3333,6446,4325,7919,4064,2857,5419,5479,7346,4685,6479,8787,6452
2021.05,112967,1726,1634,3074,3191,4220,3753,4217,4309,3156,3297,4457,5958,3378,5448,4227,7601,3908,3308,4917,5001,7159,4530,6628,8295,5575
2021.06,104704,1618,1545,2824,2917,3845,3566,3926,4039,2936,3117,4192,5611,3091,4780,3900,6991,3510,3145,4421,4517,6760,5306,6222,7051,4874
2021.07,111646,1715,1685,2944,3091,3988,3747,3917,4242,2885,3084,4114,4847,3139,4827,4161,6809,3775,3125,4660,5575,7240,8301,6718,7507,5550
2021.08,125161,1980,1780,2785,3405,4246,4300,4776,4612,3196,3181,4589,5100,3510,5253,4397,6750,3853,3115,4969,5734,7957,8243,11556,10350,5524
2021.09,110490,1748,1675,2612,3049,4163,3902,4593,4180,2745,2817,4194,4743,3217,4548,3821,6795,3906,2765,4487,4881,7257,6262,8072,8690,5368
2021.10,107123,1628,1515,2492,2845,4065,3520,4228,4125,2870,2981,4388,4948,3084,4288,4152,6898,3946,2858,4436,4378,6533,5200,7768,8115,5862
2021.11,108106,1600,1489,2483,2828,4144,3513,4418,3990,3025,2804,4485,5904,3248,4417,4037,6707,4018,3017,4451,5494,6592,4715,7208,8162,5357
2021.12,112547,1782,1566,2684,2985,4203,4415,4506,4260,2956,2841,5707,5472,3448,4668,4203,6498,3990,2934,4762,4846,7297,4989,7697,8398,5440
2022.01,100675,1628,1366,2423,2883,3953,3772,3823,3832,2235,2153,4855,4106,4076,4180,3864,5423,3432,2492,4460,4582,6962,4433,7084,7820,4838
2022.02,142156,2491,1964,3273,4364,5764,5773,5525,8611,3145,2782,6361,4912,5834,5875,5070,7121,4307,2774,5898,6480,9547,6045,9555,12704,5981
2022.03,122917,1782,1820,2836,3737,5040,4669,5165,6990,3081,2844,5379,5051,4408,5082,4198,6690,4250,2955,5046,5837,8673,4871,7042,10025,5446
2022.04,95228,1388,1337,2693,2579,3607,3087,3844,4104,2513,2345,3411,5828,3053,3821,3672,6014,3386,2630,3991,4030,6520,3572,5446,7398,4959
2022.05,104657,1565,1442,3150,2725,4007,3450,4047,4357,2994,2575,3806,5717,3156,4476,3891,6830,3686,3034,4411,4454,7614,4186,6201,7423,5460
2022.06,91205,1321,1266,2760,2545,3455,2969,3339,3639,2666,2414,3476,4616,2765,3884,3326,6007,3050,2602,4032,4126,6706,3679,5740,6242,4580
2022.07,90743,1554,1289,2496,2706,3496,3068,3366,3517,2610,2361,3490,4436,2976,3778,3468,5590,3186,2348,4000,3981,6635,3921,6031,6278,4162
2022.08,103288,1797,1427,2636,3073,3858,4273,3644,4497,2747,2472,4046,4612,4163,4173,3782,5723,3432,2459,5410,4661,7783,4308,7028,6675,4609
2022.09,86938,1458,1239,2153,2455,2973,4186,3117,3370,2293,2152,3775,4048,2910,3462,3114,5068,2982,2256,4285,3928,7059,4279,5046,5557,3773
2022.10,85408,1422,1103,2137,2206,3106,3437,3073,3370,2300,2148,3349,3954,2712,3226,3392,4895,4732,2183,3916,3585,6732,3981,5053,5678,3718
2022.11,85979,1328,1158,2244,2426,3307,2973,3099,3152,2333,2238,3343,4285,3320,3450,3303,4998,4269,2185,3973,3674,6363,3634,5174,5866,3884
2022.12,92333,1389,1327,2245,2439,3417,2874,3141,3325,2326,2307,3316,4421,4105,4314,3459,5869,4158,2235,4239,4021,6618,4168,5916,6597,4107
2023.01,91225,1420,1297,2100,2635,3312,3154,2796,3562,1999,1836,3415,4211,4367,4514,3504,5184,3473,2029,4885,3884,6850,4274,6159,6439,3926
2023.02,126733,2298,1931,2806,3912,4455,5983,3885,5964,2756,2368,5896,5003,5436,6043,4718,6727,3885,2514,5480,6098,8864,5808,9166,9149,5588
2023.03,116723,1792,2038,2566,3570,4301,4658,4063,4871,2722,2578,4808,4272,4018,5016,3771,6381,4033,2703,5292,6233,8455,4658,11083,7992,4849
2023.04,89745,1255,1576,2240,2513,3334,3218,3255,3300,2304,2048,3333,3647,2694,3573,3149,5343,3335,2622,4060,4528,6206,3587,7931,6662,4032
2023.05,99323,1460,1588,2458,2776,3944,3377,3520,3829,2623,2322,3814,3982,3083,4335,3850,5987,3659,2593,4656,5111,6703,4128,7696,7274,4555
2023.06,90971,1317,1404,2336,2586,3134,4166,3234,3412,2367,2162,3422,3866,2827,3624,3424,5387,3421,2360,4263,4188,5979,4035,7085,6815,4157
2023.07,94517,1369,1511,2291,2791,3623,4290,3013,3510,2288,2265,4874,4520,2810,3851,3372,5231,3367,2183,4218,3965,5865,4626,7972,6513,4199
2023.08,111712,1609,1693,2519,3083,4762,6398,3381,4335,2635,2581,5244,7447,3493,4379,4111,5586,3293,2405,4645,4602,6859,5472,9443,7001,4736
2023.09,93071,1402,1386,2158,2710,3747,4495,3084,3484,2134,2367,4255,5614,2663,3630,3226,4975,2929,2191,4077,3849,5362,7001,6166,5869,4297
2023.10,100287,1491,1505,2423,2862,3508,4202,3543,3552,2386,2698,4350,5026,2862,3883,3974,5890,3256,2323,4496,4010,5650,7251,7314,6722,5110
2023.11,93060,1382,1510,2298,2808,3381,3421,3456,3314,2277,2354,3921,4255,2649,3818,3308,6384,3160,2113,4164,3862,5273,5827,6126,6424,5575
2023.12,99596,1443,1421,2234,2543,3451,3210,4152,3323,2261,2533,4025,4131,2799,3916,3796,5699,3139,2309,4307,3963,5957,5122,11692,6994,5176
2024.01,111217,1725,1587,2638,3147,3903,4103,3998,4152,2398,2568,4535,4137,3257,4396,4268,6104,3726,2612,5079,4760,7497,5165,13140,7290,5032
