시점,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2020.01,127159,2026,1681,3041,4255,4675,4642,4506,5634,3259,3388,6552,5565,4322,5350,5274,6789,4683,2761,5069,5535,8521,5930,8306,9285,6110
2020.02,167282,2649,2237,3679,5650,6040,6258,5344,7672,4114,4282,9110,6663,5869,7291,7488,9370,6139,3399,7118,7762,10482,7649,10796,12223,7998
2020.03,167806,2634,2307,3879,5750,6461,6523,6219,7050,4505,4613,8053,7426,5740,7162,6224,10055,6069,3632,7191,7367,10835,6832,9848,12099,9332
2020.04,134325,2161,1699,3218,4534,5123,4861,5207,5423,3957,4062,6052,6410,4343,5500,5824,8294,5164,3008,5895,5511,8485,5540,8110,9171,6773
2020.05,120443,1957,1625,2896,4010,4512,3918,4696,4812,3734,3802,5350,5946,3528,4857,5394,7359,4932,2810,4886,4825,7831,5428,7823,8059,5453
2020.06,126224,2035,1676,3029,4078,4721,4359,5017,5115,4043,3754,5665,7039,3852,5127,5286,7599,5257,3112,5166,5136,8171,6141,7341,8170,5335
2020.07,121544,1893,1609,2889,3897,4345,4199,5111,5101,3713,3756,5420,6405,3913,4996,5077,7383,4748,2771,4652,4890,7362,6128,7504,8448,5334
2020.08,131848,1986,1592,3067,4036,4842,4810,5602,5259,3638,3808,6158,5777,4425,5452,5454,8495,5464,3135,5641,5649,8151,6246,8003,9263,5895
2020.09,137952,2058,2011,3435,4207,4939,4778,5473,5395,3934,4242,6486,6575,4692,5867,5423,8748,5847,3156,5653,5708,8199,6978,8060,9534,6554
2020.10,137100,1988,1681,3363,4456,4943,4631,5147,5684,3857,4271,6015,6145,4435,5780,5628,8375,5311,2939,5872,5822,8125,8036,8464,9948,6184
2020.11,127049,1883,1701,3006,3806,4645,4359,4897,5410,3900,3789,5519,5946,4042,5475,5033,7820,5003,3036,5558,5400,7979,5911,7869,9423,5639
2020.12,144245,1984,1914,3483,4417,5457,4797,4993,5676,4002,4125,7327,6268,4418,5810,5916,9286,5407,3204,5825,6045,9085,6850,9458,10834,7664
2021.01,124855,1887,1758,2894,3809,4684,4299,4427,5743,3389,3486,6452,5063,3940,4914,4973,7255,4627,2652,5038,5464,8112,5729,8193,9646,6421
