"시점",서울특별시,서울특별시,서울특별시,종로구,종로구,종로구,중구,중구,중구,용산구,용산구,용산구,성동구,성동구,성동구,광진구,광진구,광진구,동대문구,동대문구,동대문구,중랑구,중랑구,중랑구,성북구,성북구,성북구,강북구,강북구,강북구,도봉구,도봉구,도봉구,노원구,노원구,노원구,은평구,은평구,은평구,서대문구,서대문구,서대문구,마포구,마포구,마포구,양천구,양천구,양천구,강서구,강서구,강서구,구로구,구로구,구로구,금천구,금천구,금천구,영등포구,영등포구,영등포구,동작구,동작구,동작구,관악구,관악구,관악구,서초구,서초구,서초구,강남구,강남구,강남구,송파구,송파구,송파구,강동구,강동구,강동구
"시점",총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명)
"2020.01",131105,127159,3946,1961,2026,-65,1715,1681,34,3733,3041,692,3714,4255,-541,4603,4675,-72,4536,4642,-106,4284,4506,-222,5477,5634,-157,3072,3259,-187,2827,3388,-561,6302,6552,-250,5019,5565,-546,5283,4322,961,5279,5350,-71,4989,5274,-285,6494,6789,-295,4687,4683,4,3004,2761,243,5234,5069,165,5133,5535,-402,8347,8521,-174,6076,5930,146,9024,8306,718,9544,9285,259,10768,6110,4658
"2020.02",170587,167282,3305,2765,2649,116,2302,2237,65,3985,3679,306,5003,5650,-647,5811,6040,-229,6260,6258,2,4910,5344,-434,7704,7672,32,3760,4114,-354,3657,4282,-625,8328,9110,-782,6260,6663,-403,6869,5869,1000,7622,7291,331,6959,7488,-529,8129,9370,-1241,5579,6139,-560,3186,3399,-213,9224,7118,2106,7313,7762,-449,10209,10482,-273,7906,7649,257,11266,10796,470,11556,12223,-667,14024,7998,6026
"2020.03",164402,167806,-3404,2581,2634,-53,2226,2307,-81,3798,3879,-81,4941,5750,-809,5830,6461,-631,6636,6523,113,5564,6219,-655,7076,7050,26,4282,4505,-223,3836,4613,-777,7261,8053,-792,6494,7426,-932,7049,5740,1309,7359,7162,197,5242,6224,-982,8871,10055,-1184,5646,6069,-423,3405,3632,-227,8958,7191,1767,7148,7367,-219,10613,10835,-222,6043,6832,-789,8222,9848,-1626,10280,12099,-1819,15041,9332,5709
"2020.04",127208,134325,-7117,1912,2161,-249,1659,1699,-40,3008,3218,-210,3702,4534,-832,4729,5123,-394,4492,4861,-369,4716,5207,-491,5124,5423,-299,3734,3957,-223,3551,4062,-511,5344,6052,-708,6412,6410,2,4520,4343,177,5323,5500,-177,6593,5824,769,7176,8294,-1118,4548,5164,-616,2829,3008,-179,6160,5895,265,5465,5511,-46,8115,8485,-370,4623,5540,-917,6544,8110,-1566,7797,9171,-1374,9132,6773,2359
"2020.05",117734,120443,-2709,1642,1957,-315,1623,1625,-2,2911,2896,15,3528,4010,-482,4275,4512,-237,3948,3918,30,4575,4696,-121,4800,4812,-12,3379,3734,-355,3301,3802,-501,4693,5350,-657,6015,5946,69,3589,3528,61,5227,4857,370,6456,5394,1062,6553,7359,-806,4661,4932,-271,2838,2810,28,5144,4886,258,4993,4825,168,8311,7831,480,4982,5428,-446,6448,7823,-1375,7144,8059,-915,6698,5453,1245
"2020.06",122292,126224,-3932,1790,2035,-245,1628,1676,-48,3046,3029,17,3581,4078,-497,4511,4721,-210,4192,4359,-167,4470,5017,-547,4822,5115,-293,3625,4043,-418,3227,3754,-527,4936,5665,-729,8577,7039,1538,3723,3852,-129,4687,5127,-440,5049,5286,-237,6925,7599,-674,5260,5257,3,2955,3112,-157,5938,5166,772,5071,5136,-65,8525,8171,354,5645,6141,-496,6576,7341,-765,7430,8170,-740,6103,5335,768
"2020.07",115625,121544,-5919,1725,1893,-168,1479,1609,-130,2876,2889,-13,3332,3897,-565,3983,4345,-362,3776,4199,-423,5020,5111,-91,4496,5101,-605,3139,3713,-574,3098,3756,-658,4545,5420,-875,8103,6405,1698,3481,3913,-432,4651,4996,-345,4683,5077,-394,6642,7383,-741,4802,4748,54,2455,2771,-316,5326,4652,674,4578,4890,-312,7340,7362,-22,5375,6128,-753,6870,7504,-634,8416,8448,-32,5434,5334,100
"2020.08",123804,131848,-8044,1803,1986,-183,1584,1592,-8,2977,3067,-90,3286,4036,-750,4218,4842,-624,4291,4810,-519,7098,5602,1496,4441,5259,-818,3049,3638,-589,3037,3808,-771,4922,6158,-1236,6314,5777,537,4792,4425,367,4981,5452,-471,4844,5454,-610,6996,8495,-1499,5619,5464,155,3167,3135,32,6530,5641,889,4832,5649,-817,7679,8151,-472,5197,6246,-1049,7493,8003,-510,8843,9263,-420,5811,5895,-84
"2020.09",127908,137952,-10044,2038,2058,-20,1814,2011,-197,3831,3435,396,3550,4207,-657,4323,4939,-616,4513,4778,-265,5705,5473,232,4736,5395,-659,3456,3934,-478,3506,4242,-736,5260,6486,-1226,6389,6575,-186,5242,4692,550,5736,5867,-131,4653,5423,-770,7295,8748,-1453,5794,5847,-53,3233,3156,77,5978,5653,325,5087,5708,-621,7426,8199,-773,5666,6978,-1312,7101,8060,-959,8411,9534,-1123,7165,6554,611
"2020.10",126788,137100,-10312,1771,1988,-217,1530,1681,-151,3590,3363,227,3714,4456,-742,4497,4943,-446,4057,4631,-574,4790,5147,-357,4901,5684,-783,3226,3857,-631,3711,4271,-560,5108,6015,-907,5809,6145,-336,4047,4435,-388,5164,5780,-616,5045,5628,-583,7423,8375,-952,5061,5311,-250,2892,2939,-47,7013,5872,1141,4926,5822,-896,6676,8125,-1449,7508,8036,-528,9327,8464,863,8417,9948,-1531,6585,6184,401
"2020.11",117563,127049,-9486,1755,1883,-128,1556,1701,-145,3130,3006,124,3152,3806,-654,4295,4645,-350,3947,4359,-412,4544,4897,-353,4526,5410,-884,3316,3900,-584,3284,3789,-505,4770,5519,-749,5460,5946,-486,3601,4042,-441,4873,5475,-602,4446,5033,-587,7112,7820,-708,4649,5003,-354,2847,3036,-189,6825,5558,1267,4613,5400,-787,6943,7979,-1036,5746,5911,-165,7572,7869,-297,8892,9423,-531,5709,5639,70
"2020.12",133111,144245,-11134,1889,1984,-95,1661,1914,-253,3397,3483,-86,3650,4417,-767,4851,5457,-606,4260,4797,-537,4538,4993,-455,4850,5676,-826,3587,4002,-415,3400,4125,-725,6707,7327,-620,5512,6268,-756,4308,4418,-110,5313,5810,-497,5122,5916,-794,7582,9286,-1704,4579,5407,-828,2942,3204,-262,6979,5825,1154,5337,6045,-708,8117,9085,-968,6483,6850,-367,8882,9458,-576,10198,10834,-636,8967,7664,1303
