업종;절대효과;상대효과;p-value
담배소매업;-7.61;-0.69%;0.44
목욕장업;7.83;27.08%;0.01
숙박업;15.05;19.0%;0.12
석유판매업;1.74;5.7%;0.43
일반음식점;624.62;14.02%;0.03
집단급식소;-89.92;-36.49%;0.01
이용업;0.86;0.8%;0.45
휴게음식점;523.54;30.65%;0.0
즉석판매제조가공업;-240.65;-5.84%;0.17
약국;41.73;132.43%;0.0
석유및석유대체연료판매업체;0.56;-1004.99%;0.34
의원;-6.93;-4.98%;0.3
고압가스업;5.64;13.01%;0.22
미용업;151.4;16.87%;0.04
인쇄사;0.22;1.91%;0.48
종축업;-1.36;-37.61%;0.09
대기오염물질배출시설설치사업장;25.19;115.48%;0.1
출판사;8.68;9.18%;0.34
옹기류제조업;-0.61;-70.94%;0.03
식품자동판매기업;19.4;5.87%;0.4
축산판매업;12.24;4.5%;0.36
동물병원;-4.02;-31.5%;0.07
유흥주점영업;-1.97;-2.06%;0.4
식용얼음판매업;0.39;341.93%;0.32
동물용의약품도매상;1.45;139.08%;0.02
가축인공수정소;-0.41;-8.0%;0.41
제과점영업;24.35;14.48%;0.09
의료기기판매(임대)업;-383.63;-48.16%;0.02
안경업;4.34;19.37%;0.1
소독업;14.79;56.41%;0.04
식품제조가공업;94.54;43.68%;0.0
용기·포장지제조업;0.66;10.9%;0.4
국내여행업;-0.59;-1.66%;0.49
당구장업;110.23;123.14%;0.0
세탁업;-1.59;-1.17%;0.48
체육도장업;26.42;92.47%;0.0
건물위생관리업;35.96;26.98%;0.12
대규모점포;-1.01;-20.16%;0.2
단독정화조/오수처리시설설계시공업;-2.22;-49.68%;0.1
일반게임제공업;6.57;10.52%;0.03
부화업;0.17;12.8%;0.35
단란주점영업;-25.58;-33.08%;0.0
종합체육시설업;0.14;39.92%;0.34
농어촌민박업;36.63;15.29%;0.03
특정고압가스업;16.97;157.38%;0.0
옥외광고업;26.23;43.51%;0.0
식품소분업;21.36;15.98%;0.14
분뇨수집운반업;-2.26;-100.0%;0.01
외국인전용유흥음식점업;-0.77;-38.18%;0.2
체력단련장업;8.19;30.25%;0.07
유료직업소개소;-18.1;-11.58%;0.13
영화상영관;3.13;53.23%;0.03
산후조리업;-0.66;-20.86%;0.25
노래연습장업;-26.47;-16.62%;0.01
비디오물시청제공업;0.13;-100.0%;0.37
병원;0.8;11.04%;0.34
무도장업;0.23;44.1%;0.33
골프연습장업;-50.75;-46.56%;0.0
동물약국;5.48;27.39%;0.13
식품운반업;-2.23;-12.58%;0.29
복합유통게임제공업;-0.85;-7.99%;0.33
식품판매업(기타);-5.87;-16.71%;0.11
무도학원업;1.07;16.72%;0.2
의료유사업;3.74;82.79%;0.0
계량기증명업;1.01;25.19%;0.2
쓰레기종량제봉투판매업;99.85;393.06%;0.0
음반.음악영상물제작업;-1.22;-15.83%;0.27
치과기공소;1.34;15.91%;0.26
수영장업;-0.85;-25.35%;0.14
국내외여행업;-13.82;-24.64%;0.02
유통전문판매업;38.6;28.41%;0.07
식품냉동냉장업;0.18;9.89%;0.39
인터넷컴퓨터게임시설제공업;-36.09;-14.14%;0.01
수질오염원설치시설(기타);8.14;74.89%;0.04
가축분뇨 수집운반업;-0.8;-31.44%;0.07
통신판매업;708.98;21.27%;0.07
비디오물감상실업;1.74;69.14%;0.06
방문판매업;-169.37;-38.33%;0.0
다단계판매업체;-0.59;-28.37%;0.23
무료직업소개소;-8.73;-63.59%;0.0
축산물운반업;24.53;351.91%;0.0
썰매장업;2.11;545.85%;0.0
식품첨가물제조업;3.47;69.11%;0.0
축산가공업;21.35;111.53%;0.0
저수조청소업;3.82;36.64%;0.1
축산물보관업;-2.54;-50.39%;0.05
음반.음악영상물배급업;1.06;562.93%;0.01
개인하수처리시설관리업(사업장);-1.93;-60.71%;0.07
동물용의료용구판매업;-0.28;-11.08%;0.33
용기냉동기특정설비;1.97;110.89%;0.06
건설폐기물처리업;-0.67;-22.99%;0.25
비디오물배급업;0.37;26.51%;0.3
비디오물제작업;-2.27;-20.15%;0.24
빙상장업;-0.88;-100.0%;0.2
배출가스전문정비사업자(확인검사대행자);0.77;-3194.92%;0.02
관광식당;-0.49;-100.0%;0.0
영화수입업;0.2;18.53%;0.37
영화제작업;-2.82;-39.89%;0.01
비디오물소극장업;0.61;-169.68%;0.01
담배도매업;2.1;97.94%;0.04
전화권유판매업;-0.93;-2.86%;0.45
가축분뇨배출시설관리업(사업장);-0.44;-100.0%;0.24
도축업;0.14;124.15%;0.14
게임물제작업;1.68;23.73%;0.18
식육포장처리업;0.54;1.46%;0.43
계량기수리업;-0.66;-56.96%;0.07
위탁급식영업;17.61;20.27%;0.22
승마장업;-0.26;-34.07%;0.3
부속의료기관;-0.26;-50.85%;0.23
영화상영업;-0.09;-3.65%;0.42
관광숙박업;2.49;123.77%;0.02
건강기능식품일반판매업;434.93;30.6%;0.1
건강기능식품유통전문판매업;9.28;16.96%;0.22
가축사육업;-152.31;-28.75%;0.03
청소년게임제공업;4.27;4.87%;0.31
게임물배급업;1.88;48.69%;0.1
계량기제조업;-1.68;-69.1%;0.0
사료제조업;5.86;27.07%;0.05
액화석유가스용품제조업체;0.62;70.76%;0.22
종합여행업;0.46;1.62%;0.44
전력기술설계업체;-0.75;-37.59%;0.1
집유업;0.29;61.76%;0.05
전력기술감리업체;-1.65;-62.21%;0.0
환경전문공사업;-5.39;-45.35%;0.02
관광펜션업;0.02;2.27%;0.46
환경측정대행업;0.69;12.41%;0.39
음반물배급업;0.69;12.41%;0.43
의료기기수리업;2.53;35.1%;0.19
온라인음악서비스제공업;-0.02;-6.65%;0.47
자동차야영장업;-0.68;-57.58%;0.1
음반물제작업;0.29;30.77%;0.32
국제물류주선업;0.65;109.38%;0.0
집단급식소식품판매업;22.41;42.42%;0.01
동물판매업;6.81;20.36%;0.31
석연탄제조업;-0.79;-100.0%;0.01
동물생산업;0.82;10.07%;0.31
영화배급업;0.15;7.33%;0.44
의료기관세탁물처리업;0.26;-3236.08%;0.2
계량기수입업;0.95;1955.63%;0.0
요양보호사교육기관;3.62;-264.2%;0.0
한옥체험업;0.91;22.3%;0.28
상조업;1.21;-170.88%;0.02
관광유흥음식점업;1.21;-170.88%;0.02
동물수입업;-1.76;-87.58%;0.0
환경컨설팅회사;-0.01;-4.7%;0.49
외국인관광도시민박업;5.99;20.12%;0.08
물류창고업체;-2.4;-21.52%;0.17
장례지도사 교육기관;0.0;-100.0%;0.49
복합영상물제공업;0.86;632.11%;0.0
안전상비의약품 판매업소;50.44;15.97%;0.02
승강기유지관리업체;1.13;-869.1%;0.12
후원방문판매업체;7.3;14.19%;0.14
환경관리대행기관;1.78;-627.12%;0.2
요트장업;0.12;-100.0%;0.2
승강기제조및수입업체;-3.25;-92.86%;0.03
일반야영장업;-11.37;-63.63%;0.03
골프장;-11.37;-63.63%;0.03
동물장묘업;-11.37;-63.63%;0.03
동물미용업;3.75;10.63%;0.12
동물위탁관리업;3.78;11.65%;0.07
동물운송업;5.32;86.08%;0.0
동물전시업;-1.27;-16.84%;0.1
