업종;절대효과;상대효과;p-value
가축분뇨 수집운반업;-0.97;-23.05%;0.08
가축분뇨배출시설관리업(사업장);-1.49;-49.81%;0.0
가축사육업;-71.09;-13.88%;0.01
가축인공수정소;-1.81;-17.58%;0.12
개인하수처리시설관리업(사업장);-1.17;-36.87%;0.03
건강기능식품유통전문판매업;-2.54;-3.89%;0.25
건강기능식품일반판매업;2.34;0.23%;0.47
건물위생관리업;25.63;27.01%;0.01
건설폐기물처리업;-4.58;-18.28%;0.0
게임물배급업;1.63;14.05%;0.26
게임물제작업;2.31;9.16%;0.29
계량기수리업;-1.2;-32.36%;0.08
계량기수입업;-0.96;-56.03%;0.02
계량기제조업;-1.41;-44.54%;0.09
계량기증명업;2.54;56.85%;0.02
고압가스업;29.83;55.59%;0.02
골프연습장업;-0.9;-5.93%;0.43
골프장;-0.76;-75.2%;0.02
관광숙박업;-4.87;-31.19%;0.04
관광식당;2.05;-678.92%;0.0
관광유흥음식점업;2.05;-678.92%;0.0
관광펜션업;-2.43;-46.94%;0.06
국내여행업;-7.23;-32.91%;0.02
국내외여행업;-5.19;-37.25%;0.25
국제물류주선업;1.23;13.22%;0.31
급수공사대행업;3.73;51.4%;0.08
노래연습장업;3.73;51.4%;0.07
농어촌민박업;49.67;42.43%;0.33
다단계판매업체;1.35;-1319.73%;0.0
단독정화조/오수처리시설설계시공업;-1.05;-34.42%;0.09
단란주점영업;-7.42;-40.85%;0.0
담배도매업;0.19;8.01%;0.42
담배소매업;41.99;4.94%;0.12
담배수입판매업체;-0.01;-0.88%;0.5
당구장업;5.0;9.62%;0.18
대규모점포;-3.99;-72.67%;0.0
대기오염물질배출시설설치사업장;125.69;65.79%;0.0
도축업;0.33;-429.57%;0.05
동물미용업;74.85;1268.31%;0.22
동물병원;-1.4;-7.4%;0.36
동물생산업;-4.44;-18.37%;0.28
동물수입업;3.0;-604.35%;0.0
동물약국;12.87;13.01%;0.04
동물용의료용구판매업;-3.34;-19.82%;0.23
동물용의약품도매상;-0.03;-1.69%;0.47
동물운송업;8.73;165.49%;0.0
동물위탁관리업;40.49;274.27%;0.18
동물장묘업;-0.53;-41.43%;0.12
동물전시업;6.78;460.51%;0.04
동물판매업;-0.98;-4.39%;0.36
등록체육시설업;-0.2;-44.07%;0.29
목욕장업;3.17;31.48%;0.05
목재수입유통업;5.56;39.93%;0.03
무도장업;0.89;144.98%;0.0
무도학원업;1.9;223.35%;0.0
무료직업소개소;-3.07;-36.94%;0.04
물류창고업체;-12.06;-47.19%;0.0
미용업;-80.91;-7.59%;0.1
민방위급수시설;-19.79;-68.15%;0.0
민방위대피시설;13.16;50.47%;0.15
방문판매업;-65.75;-39.55%;0.0
배출가스전문정비사업자(확인검사대행자);15.3;212.6%;0.0
병원;0.71;20.05%;0.34
복합영상물제공업;0.71;20.05%;0.31
복합유통게임제공업;-4.37;-39.31%;0.03
부속의료기관;-0.53;-51.47%;0.27
부화업;-0.02;-7.19%;0.48
분뇨수집운반업;-0.12;-10.49%;0.44
비디오물감상실업;0.31;-100.0%;0.05
비디오물배급업;-2.39;-27.65%;0.02
비디오물소극장업;-2.39;-27.65%;0.02
비디오물시청제공업;-2.39;-27.65%;0.02
비디오물제작업;0.19;0.16%;0.49
빙상장업;0.63;102.34%;0.0
사료제조업;12.6;16.82%;0.01
산후조리업;1.62;432.46%;0.0
상조업;0.18;269.67%;0.09
석연탄제조업;0.03;-100.0%;0.46
석유및석유대체연료판매업체;2.63;141.23%;0.02
석유판매업;-0.88;-8.06%;0.33
세탁업;4.87;16.73%;0.06
소독업;36.67;26.27%;0.0
수영장업;-1.43;-28.98%;0.22
수질오염원설치시설(기타);3.55;6.39%;0.22
숙박업;-3.83;-5.46%;0.29
스키장;-3.83;-5.46%;0.29
승강기유지관리업체;-2.25;-52.9%;0.01
승강기제조및수입업체;-5.86;-82.43%;0.06
승마장업;0.29;-100.0%;0.19
식용얼음판매업;0.08;-100.0%;0.32
