업종;절대효과;상대효과;p-value
담배소매업;0.3;1.42%;0.45
방문판매업;3.55;111.1%;0.0
약국;0.08;-100.0%;0.15
옥외광고업;2.57;219.11%;0.01
쓰레기종량제봉투판매업;2.57;219.11%;0.0
당구장업;0.47;88.41%;0.04
체육도장업;1.12;299.38%;0.0
축산가공업;-0.7;-28.49%;0.13
수영장업;0.88;-690.61%;0.0
국내외여행업;0.69;52.09%;0.07
골프연습장업;-0.52;-51.06%;0.16
고압가스업;0.67;15.36%;0.32
체력단련장업;0.4;116.81%;0.04
분뇨수집운반업;0.01;-100.0%;0.47
단독정화조/오수처리시설설계시공업;-0.1;-100.0%;0.32
대기오염물질배출시설설치사업장;-0.32;-23.99%;0.29
개인하수처리시설관리업(사업장);0.53;247.36%;0.0
종합체육시설업;0.24;3922.82%;0.0
관광숙박업;0.1;-100.0%;0.32
축산판매업;-0.91;-34.1%;0.14
국내여행업;0.44;54.39%;0.14
통신판매업;17.59;65.95%;0.01
비디오물시청제공업;17.59;65.95%;0.01
부화업;-0.66;-100.0%;0.0
비디오물감상실업;-0.66;-100.0%;0.0
동물병원;0.18;-100.0%;0.13
공연장;0.18;-100.0%;0.16
대규모점포;-0.19;-100.0%;0.1
노래연습장업;0.1;10.65%;0.39
일반게임제공업;1.57;868.53%;0.0
저수조청소업;0.33;190.7%;0.07
식육포장처리업;1.2;2256.77%;0.01
무도학원업;-0.24;-100.0%;0.15
인쇄사;-0.24;-100.0%;0.14
가축사육업;-12.18;-16.09%;0.23
담배수입판매업체;-0.41;-100.0%;0.0
가축분뇨 수집운반업;-0.41;-100.0%;0.0
사료제조업;-0.8;-61.64%;0.01
일반유원시설업;-0.14;-100.0%;0.06
석유판매업;1.81;959.92%;0.19
액화석유가스용품제조업체;0.18;56.44%;0.29
관광사업자;-0.03;-10.11%;0.49
게임물제작업;-0.03;-10.11%;0.47
게임물배급업;-0.03;-10.11%;0.47
건설폐기물처리업;-0.03;-10.11%;0.48
담배도매업;-0.03;-10.11%;0.47
동물용의약품도매상;-0.03;-10.11%;0.48
출판사;0.18;278.85%;0.15
안경업;0.18;278.85%;0.18
의원;0.52;-2687.86%;0.0
용기냉동기특정설비;-0.24;-24.33%;0.12
가축인공수정소;0.41;121.95%;0.01
인터넷컴퓨터게임시설제공업;0.87;98.06%;0.02
부속의료기관;0.87;98.06%;0.02
소독업;1.96;-947.29%;0.0
의료유사업;0.87;-236.1%;0.0
청소년게임제공업;-1.02;-80.35%;0.0
빙상장업;-1.02;-80.35%;0.0
전화권유판매업;-0.24;-15.83%;0.37
종축업;-0.39;-100.0%;0.0
종합여행업;3.66;625.21%;0.0
의료기기판매(임대)업;-0.62;-38.37%;0.07
승마장업;-0.14;-100.0%;0.04
외국인전용유흥음식점업;-0.32;-100.0%;0.01
산후조리업;-0.05;-8.41%;0.48
썰매장업;0.18;-100.0%;0.07
동물판매업;-0.08;-14.11%;0.31
시내순환관광업;-0.08;-14.11%;0.32
의료기기수리업;0.32;-445.99%;0.04
승강기유지관리업체;0.7;1342.65%;0.01
종합유원시설업;0.7;1342.65%;0.01
안전상비의약품 판매업소;-0.08;-7.65%;0.4
요양보호사교육기관;-0.08;-7.65%;0.39
관광펜션업;-0.08;-7.65%;0.39
영화제작업;-0.08;-7.65%;0.36
장례지도사 교육기관;-0.08;-7.65%;0.38
환경측정대행업;-0.08;-7.65%;0.38
급수공사대행업;-0.08;-7.65%;0.38
유원시설업(기타);-0.32;-56.15%;0.07
대중문화예술기획업;-0.15;-22.96%;0.3
병원;-0.14;-100.0%;0.05
후원방문판매업체;-0.11;-29.95%;0.25
계량기증명업;-0.46;-100.0%;0.05
동물약국;-0.19;-43.18%;0.05
외국인관광도시민박업;0.37;275.75%;0.03
관광공연장업;0.37;275.75%;0.03
일반야영장업;0.32;174.95%;0.06
승강기제조및수입업체;0.34;-377.92%;0.01
석연탄제조업;0.11;-100.0%;0.21
응급환자이송업;0.11;-100.0%;0.2
수질오염원설치시설(기타);0.26;-3585.59%;0.04
물류창고업체;0.26;-3585.59%;0.04
다단계판매업체;0.26;-3585.59%;0.05
자동차야영장업;0.08;-100.0%;0.16
축산물운반업;-0.01;-100.0%;0.47
동물수입업;-0.01;-100.0%;0.49
