업종;절대효과;상대효과;p-value
가축분뇨 수집운반업;-0.02;-100.0%;0.42
가축분뇨배출시설관리업(사업장);-0.05;-15.72%;0.28
가축사육업;-19.01;-27.25%;0.04
가축인공수정소;-0.16;-100.0%;0.38
개인하수처리시설관리업(사업장);1.0;-499752.32%;0.0
건설폐기물처리업;-0.07;-21.65%;0.37
게임물배급업;-0.07;-21.65%;0.38
게임물제작업;-0.07;-21.65%;0.37
계량기증명업;0.19;306.96%;0.11
고압가스업;5.22;205.91%;0.0
골프연습장업;-0.26;-100.0%;0.24
관광사업자;0.37;-302.48%;0.18
관광숙박업;-0.05;-5.14%;0.46
국내여행업;0.04;3.31%;0.43
국내외여행업;-0.63;-23.97%;0.11
급수공사대행업;-0.63;-23.97%;0.13
노래연습장업;-0.39;-34.15%;0.18
농어촌민박업;-1.48;-100.0%;0.03
다단계판매업체;-1.48;-100.0%;0.02
단독정화조/오수처리시설설계시공업;2.33;-3064.64%;0.0
담배도매업;2.33;-3064.64%;0.0
담배소매업;0.77;3.24%;0.42
담배수입판매업체;1.54;733.44%;0.19
당구장업;0.87;228.44%;0.08
대규모점포;0.11;-100.0%;0.19
대기오염물질배출시설설치사업장;-4.09;-94.24%;0.0
대중문화예술기획업;-1.33;-72.71%;0.0
도축업;-0.35;-100.0%;0.0
동물병원;-0.31;-100.0%;0.08
동물생산업;-0.34;-57.86%;0.02
동물수입업;-0.34;-57.86%;0.02
동물약국;-0.17;-100.0%;0.15
동물용의료용구판매업;-0.17;-100.0%;0.17
동물용의약품도매상;-0.09;-100.0%;0.19
동물위탁관리업;0.28;131.57%;0.0
동물장묘업;0.28;131.57%;0.0
동물판매업;0.29;62.48%;0.24
무도학원업;-0.46;-100.0%;0.03
물류창고업체;-0.08;-100.0%;0.19
방문판매업;-5.94;-36.14%;0.02
병원;0.32;-433.47%;0.0
부속의료기관;0.32;-433.47%;0.0
부화업;-0.22;-46.35%;0.17
분뇨수집운반업;0.57;-766.94%;0.0
비디오물감상실업;0.57;-766.94%;0.0
비디오물시청제공업;0.57;-766.94%;0.0
빙상장업;0.57;-766.94%;0.0
사료제조업;-0.77;-30.49%;0.2
산후조리업;0.13;34.51%;0.37
석유판매업;2.42;-262.95%;0.12
소독업;0.97;54.35%;0.01
수영장업;-0.48;-65.61%;0.02
수질오염원설치시설(기타);-0.17;-40.72%;0.23
승강기유지관리업체;0.15;149.37%;0.28
승강기제조및수입업체;0.21;482.88%;0.1
승마장업;0.06;29.08%;0.39
시내순환관광업;0.06;29.08%;0.39
식육포장처리업;-1.49;-37.32%;0.0
썰매장업;-0.24;-48.89%;0.22
쓰레기종량제봉투판매업;-0.09;-100.0%;0.34
안경업;-0.09;-100.0%;0.34
안전상비의약품 판매업소;0.03;3.46%;0.48
액화석유가스용품제조업체;-0.12;-32.71%;0.34
약국;0.23;977.98%;0.01
영화상영관;0.13;-100.0%;0.08
영화상영업;0.13;-100.0%;0.08
영화제작업;0.13;-100.0%;0.08
옥외광고업;1.71;67.47%;0.02
외국인관광도시민박업;-1.65;-100.0%;0.0
외국인전용유흥음식점업;-1.65;-100.0%;0.0
요양보호사교육기관;-0.22;-100.0%;0.01
용기냉동기특정설비;-0.93;-100.0%;0.0
유원시설업(기타);0.19;60.38%;0.27
음반물제작업;0.19;60.38%;0.24
응급환자이송업;0.19;60.38%;0.26
의료기관세탁물처리업;-0.58;-100.0%;0.0
의료기기수리업;0.31;-500.17%;0.1
의료기기판매(임대)업;0.72;23.88%;0.17
의료유사업;0.18;54.93%;0.28
의원;-1.03;-80.48%;0.0
인쇄사;-1.03;-80.48%;0.0
인터넷컴퓨터게임시설제공업;-4.21;-89.38%;0.0
일반게임제공업;0.09;6.2%;0.36
일반야영장업;-1.35;-84.41%;0.0
일반유원시설업;0.49;186.66%;0.0
자동차야영장업;0.21;74.05%;0.04
장례지도사 교육기관;0.21;74.05%;0.06
저수조청소업;0.99;11648.3%;0.0
전력기술감리업체;0.99;11648.3%;0.0
전력기술설계업체;0.99;11648.3%;0.0
전화권유판매업;-1.25;-55.65%;0.0
종축업;-0.14;-100.0%;0.06
종합여행업;-2.23;-64.08%;0.01
종합유원시설업;-2.23;-64.08%;0.01
종합체육시설업;-0.09;-100.0%;0.24
청소년게임제공업;-1.01;-80.13%;0.0
체력단련장업;-0.42;-100.0%;0.03
체육도장업;-0.33;-56.61%;0.26
축산가공업;-1.18;-40.31%;0.06
축산물보관업;-0.42;-100.0%;0.01
축산물운반업;0.74;11837.96%;0.0
축산판매업;-2.2;-46.8%;0.01
출판사;0.28;-100.0%;0.05
치과기공소;0.28;-100.0%;0.04
통신판매업;10.13;22.58%;0.1
한옥체험업;10.13;22.58%;0.08
환경전문공사업;0.08;-100.0%;0.14
환경측정대행업;0.08;-100.0%;0.16
후원방문판매업체;0.18;-100.0%;0.22
