업종;절대효과;상대효과;p-value
담배소매업;136.31;14.42%;0.0
목욕장업;15.12;95.27%;0.0
숙박업;7.85;7.69%;0.34
석유판매업;13.29;60.49%;0.0
일반음식점;980.22;25.59%;0.02
집단급식소;-75.6;-36.82%;0.02
이용업;4.61;4.84%;0.35
휴게음식점;367.68;22.16%;0.06
즉석판매제조가공업;37.29;1.0%;0.43
약국;-8.78;-11.78%;0.13
석유및석유대체연료판매업체;-0.21;-100.0%;0.3
의원;-28.69;-18.55%;0.01
고압가스업;-1.2;-2.19%;0.43
미용업;111.86;14.09%;0.13
인쇄사;-8.32;-47.34%;0.0
종축업;-3.44;-53.39%;0.0
대기오염물질배출시설설치사업장;-115.97;-74.83%;0.0
출판사;-79.27;-53.92%;0.0
옹기류제조업;0.17;-100.0%;0.25
식품자동판매기업;-118.63;-26.85%;0.01
축산판매업;-17.85;-6.42%;0.24
동물병원;-3.88;-22.97%;0.03
유흥주점영업;21.08;41.2%;0.05
식용얼음판매업;-1.58;-86.33%;0.02
동물용의약품도매상;-1.58;-47.45%;0.02
가축인공수정소;2.2;726.4%;0.02
제과점영업;33.15;16.05%;0.05
의료기기판매(임대)업;70.74;20.64%;0.09
안경업;26.06;502.21%;0.0
소독업;12.4;33.87%;0.01
식품제조가공업;-87.86;-37.49%;0.03
용기·포장지제조업;-2.5;-23.23%;0.12
국내여행업;-267.73;-67.44%;0.0
당구장업;33.46;58.41%;0.16
세탁업;9.62;8.27%;0.28
체육도장업;8.88;35.69%;0.08
건물위생관리업;-44.91;-33.79%;0.09
대규모점포;-4.04;-61.77%;0.0
단독정화조/오수처리시설설계시공업;-3.14;-86.26%;0.01
일반게임제공업;29.89;303.22%;0.0
부화업;-0.25;-50.47%;0.32
단란주점영업;16.47;33.59%;0.05
종합체육시설업;0.7;87.09%;0.03
농어촌민박업;141.67;491.4%;0.01
특정고압가스업;-1.62;-9.91%;0.39
옥외광고업;115.84;-530.37%;0.01
식품소분업;-11.71;-8.69%;0.31
분뇨수집운반업;-1.39;-100.0%;0.02
외국인전용유흥음식점업;-0.2;-11.91%;0.38
체력단련장업;13.66;93.59%;0.11
유료직업소개소;67.41;83.12%;0.0
영화상영관;5.6;-238.4%;0.02
산후조리업;0.27;15.63%;0.38
노래연습장업;61.98;359.0%;0.0
비디오물시청제공업;0.24;2136.42%;0.27
병원;5.86;202.4%;0.0
무도장업;0.52;-2534.89%;0.2
골프연습장업;18.96;81.42%;0.15
동물약국;7.01;18.46%;0.02
식품운반업;-0.81;-5.1%;0.42
복합유통게임제공업;-0.46;-5.25%;0.41
식품판매업(기타);-14.44;-39.35%;0.0
무도학원업;0.0;0.05%;0.5
의료유사업;2.18;77.18%;0.0
계량기증명업;0.89;65.05%;0.2
