업종;절대효과;상대효과;p-value
가축분뇨 수집운반업;2.73;214.62%;0.0
가축분뇨배출시설관리업(사업장);1.07;-333.17%;0.01
가축사육업;79.56;36.8%;0.0
가축인공수정소;-7.17;-36.93%;0.01
개인하수처리시설관리업(사업장);2.25;766300.3%;0.0
건강기능식품유통전문판매업;-1.15;-1.35%;0.41
건강기능식품일반판매업;572.06;20.5%;0.0
건물위생관리업;-31.87;-26.59%;0.01
건설폐기물처리업;4.38;13.52%;0.05
게임물배급업;9.5;199.72%;0.0
게임물제작업;11.31;58.17%;0.01
계량기수리업;1.72;84.68%;0.0
계량기수입업;0.56;47.05%;0.21
계량기제조업;-2.78;-32.58%;0.0
계량기증명업;4.91;127.84%;0.0
고압가스업;-3.62;-3.93%;0.3
골프연습장업;-3.42;-11.07%;0.12
골프장;0.27;-1593.41%;0.14
관광숙박업;0.4;4.32%;0.39
관광식당;0.83;499.17%;0.02
관광유흥음식점업;0.83;499.17%;0.03
관광펜션업;0.31;4.81%;0.44
국내여행업;5.19;39.71%;0.05
국내외여행업;-3.21;-5.71%;0.16
국제물류주선업;3.34;24.44%;0.12
급수공사대행업;3.78;79.91%;0.05
노래연습장업;3.78;79.91%;0.04
농어촌민박업;47.17;14.96%;0.04
다단계판매업체;0.55;282.76%;0.14
단독정화조/오수처리시설설계시공업;-1.89;-71.61%;0.02
단란주점영업;3.97;21.4%;0.01
담배도매업;-4.57;-67.02%;0.0
담배소매업;216.46;25.34%;0.0
담배수입판매업체;1.2;-589.86%;0.0
당구장업;7.8;24.79%;0.01
대규모점포;-0.25;-3.95%;0.41
대기오염물질배출시설설치사업장;-47.08;-16.09%;0.18
도축업;-0.47;-100.0%;0.0
동물미용업;-7.92;-5.83%;0.23
동물병원;-2.48;-9.84%;0.22
동물생산업;-2.03;-8.62%;0.19
동물수입업;0.05;2.05%;0.47
동물약국;100.78;118.25%;0.0
동물용의료용구판매업;78.83;201.22%;0.0
동물용의약품도매상;1.08;44.81%;0.04
동물운송업;7.15;13.86%;0.09
동물위탁관리업;3.75;5.3%;0.23
동물장묘업;1.14;-809.67%;0.01
동물전시업;-2.96;-37.2%;0.0
동물판매업;0.15;0.39%;0.47
등록체육시설업;-0.26;-50.74%;0.21
목욕장업;4.9;127.01%;0.01
목재수입유통업;5.75;60.55%;0.01
무도장업;0.12;93.86%;0.4
무도학원업;2.37;-271.94%;0.0
무료직업소개소;-1.63;-18.36%;0.28
물류창고업체;16.58;104.1%;0.0
