업종;절대효과;상대효과;p-value
담배소매업;-15.6;-44.14%;0.0
방문판매업;3.6;311.97%;0.1
약국;-0.36;-100.0%;0.01
옥외광고업;5.0;117.43%;0.0
쓰레기종량제봉투판매업;5.0;117.43%;0.0
당구장업;-0.44;-63.88%;0.27
체육도장업;-0.09;-26.26%;0.42
축산가공업;-1.79;-58.83%;0.0
수영장업;0.7;229.59%;0.04
국내외여행업;0.35;-100.0%;0.3
골프연습장업;-0.25;-100.0%;0.17
고압가스업;-0.1;-2.08%;0.48
체력단련장업;-0.19;-43.08%;0.21
분뇨수집운반업;-0.54;-100.0%;0.0
단독정화조/오수처리시설설계시공업;-0.14;-100.0%;0.15
대기오염물질배출시설설치사업장;0.19;23.37%;0.39
개인하수처리시설관리업(사업장);0.1;-100.0%;0.37
종합체육시설업;0.06;-100.0%;0.28
관광숙박업;-0.53;-41.23%;0.18
축산판매업;0.61;37.15%;0.26
국내여행업;0.7;-154.96%;0.07
통신판매업;-22.8;-34.01%;0.1
비디오물시청제공업;-22.8;-34.01%;0.1
영화상영관;0.27;-100.0%;0.18
부화업;0.04;-100.0%;0.34
비디오물감상실업;0.04;-100.0%;0.35
동물병원;-0.78;-100.0%;0.0
공연장;-0.78;-100.0%;0.0
대규모점포;-0.36;-100.0%;0.01
노래연습장업;1.62;-441.98%;0.0
일반게임제공업;0.91;-138.04%;0.0
저수조청소업;-0.23;-100.0%;0.21
식육포장처리업;-1.48;-54.17%;0.02
무도학원업;-0.13;-100.0%;0.19
인쇄사;-0.13;-100.0%;0.21
가축사육업;5.06;34.47%;0.37
담배수입판매업체;-0.66;-72.54%;0.0
가축분뇨 수집운반업;-0.66;-72.54%;0.0
사료제조업;-0.79;-61.11%;0.06
일반유원시설업;0.52;-192.62%;0.01
석유판매업;0.73;22.19%;0.12
액화석유가스용품제조업체;0.21;-100.0%;0.07
관광사업자;-0.05;-100.0%;0.42
게임물제작업;-0.05;-100.0%;0.43
게임물배급업;-0.05;-100.0%;0.4
건설폐기물처리업;-0.05;-100.0%;0.45
담배도매업;-0.05;-100.0%;0.42
동물용의약품도매상;-0.05;-100.0%;0.43
출판사;0.31;-501.76%;0.01
안경업;0.31;-501.76%;0.01
의원;0.18;261.35%;0.21
용기냉동기특정설비;0.4;-100.0%;0.09
축산물보관업;0.35;-355.56%;0.0
가축인공수정소;0.29;-100.0%;0.15
인터넷컴퓨터게임시설제공업;0.33;-100.0%;0.35
부속의료기관;0.33;-100.0%;0.35
소독업;1.46;3560.72%;0.01
의료유사업;-0.11;-17.83%;0.35
청소년게임제공업;-0.36;-100.0%;0.14
빙상장업;-0.36;-100.0%;0.14
전화권유판매업;0.9;67.19%;0.13
종축업;-0.07;-20.84%;0.33
종합여행업;1.95;-162.28%;0.04
의료기기판매(임대)업;-0.3;-11.75%;0.36
승마장업;-0.08;-23.11%;0.34
외국인전용유흥음식점업;0.29;-720.77%;0.0
산후조리업;1.39;229.77%;0.0
썰매장업;-0.88;-100.0%;0.0
동물판매업;0.13;-100.0%;0.32
시내순환관광업;0.13;-100.0%;0.31
관광유람선업;-0.26;-100.0%;0.02
의료기기수리업;-0.05;-100.0%;0.39
승강기유지관리업체;0.04;21.5%;0.47
종합유원시설업;0.04;21.5%;0.44
안전상비의약품 판매업소;-0.77;-60.66%;0.13
요양보호사교육기관;-0.77;-60.66%;0.12
관광펜션업;-0.77;-60.66%;0.11
영화제작업;-0.77;-60.66%;0.11
장례지도사 교육기관;-0.77;-60.66%;0.12
환경측정대행업;-0.77;-60.66%;0.13
급수공사대행업;-0.77;-60.66%;0.14
유원시설업(기타);0.25;50.13%;0.16
대중문화예술기획업;0.59;-665.43%;0.01
병원;-0.11;-100.0%;0.09
후원방문판매업체;-0.27;-100.0%;0.1
계량기증명업;0.2;453.75%;0.24
동물약국;0.02;-100.0%;0.45
외국인관광도시민박업;0.65;-435.66%;0.02
관광공연장업;0.65;-435.66%;0.01
일반야영장업;1.54;746.38%;0.0
승강기제조및수입업체;0.31;-489.49%;0.0
수질오염원설치시설(기타);0.07;-100.0%;0.33
물류창고업체;0.07;-100.0%;0.33
다단계판매업체;0.07;-100.0%;0.32
자동차야영장업;-0.57;-69.33%;0.0
축산물운반업;-0.74;-100.0%;0.0
동물수입업;-0.74;-100.0%;0.0
의료기관세탁물처리업;0.13;-100.0%;0.31
동물생산업;-0.18;-100.0%;0.23
동물위탁관리업;-0.02;-100.0%;0.47
도축업;0.6;-611.12%;0.0
동물전시업;0.6;-611.12%;0.0
농어촌민박업;2.02;116.99%;0.0
영화상영업;2.02;116.99%;0.0
