업종;절대효과;상대효과;p-value
가축분뇨 수집운반업;0.12;-100.0%;0.17
가축분뇨배출시설관리업(사업장);0.13;-100.0%;0.16
가축사육업;-98.64;-68.55%;0.0
가축인공수정소;-0.37;-100.0%;0.01
개인하수처리시설관리업(사업장);0.7;-156.06%;0.05
건설폐기물처리업;-0.23;-23.32%;0.23
게임물배급업;-0.23;-23.32%;0.22
게임물제작업;-0.23;-23.32%;0.22
계량기증명업;0.1;-100.0%;0.22
고압가스업;1.65;16.75%;0.22
골프연습장업;0.09;51.7%;0.32
공연장;-0.4;-100.0%;0.0
관광공연장업;-0.4;-100.0%;0.0
관광사업자;0.12;-100.0%;0.1
관광숙박업;0.85;208.69%;0.03
관광유람선업;-0.33;-57.24%;0.01
관광펜션업;-0.33;-57.24%;0.01
국내여행업;0.8;-145.79%;0.05
국내외여행업;0.28;127.25%;0.32
급수공사대행업;0.28;127.25%;0.33
노래연습장업;0.77;326.67%;0.0
농어촌민박업;1.12;-904.11%;0.14
다단계판매업체;1.12;-904.11%;0.12
단독정화조/오수처리시설설계시공업;0.59;-100.0%;0.25
담배도매업;0.59;-100.0%;0.24
담배소매업;50.69;145.59%;0.0
담배수입판매업체;-3.68;-88.04%;0.02
당구장업;0.15;42.61%;0.42
대규모점포;-0.16;-39.07%;0.16
대기오염물질배출시설설치사업장;0.93;28.14%;0.25
대중문화예술기획업;-0.52;-50.87%;0.16
도축업;0.14;121.86%;0.25
동물미용업;-0.28;-21.9%;0.12
동물병원;-0.3;-100.0%;0.07
동물생산업;1.61;1142.9%;0.0
동물수입업;1.61;1142.9%;0.0
동물약국;-0.02;-100.0%;0.45
동물용의료용구판매업;-0.02;-100.0%;0.42
동물용의약품도매상;-0.19;-19.89%;0.17
동물위탁관리업;0.43;76.85%;0.06
동물장묘업;0.43;76.85%;0.06
동물전시업;0.14;120.77%;0.19
동물판매업;-0.76;-75.16%;0.03
무도학원업;-0.54;-100.0%;0.0
물류창고업체;0.31;-492.52%;0.0
방문판매업;7.17;-126.47%;0.01
병원;0.96;2433.67%;0.0
부속의료기관;0.96;2433.67%;0.0
부화업;-0.14;-35.47%;0.27
분뇨수집운반업;0.22;-100.0%;0.13
비디오물감상실업;0.22;-100.0%;0.17
비디오물시청제공업;0.22;-100.0%;0.16
빙상장업;0.22;-100.0%;0.15
사료제조업;-0.56;-35.78%;0.23
산후조리업;0.37;32.31%;0.24
석연탄제조업;-0.26;-100.0%;0.03
석유판매업;1.4;21.22%;0.07
소독업;1.5;85.97%;0.01
수영장업;1.21;-573.59%;0.0
수질오염원설치시설(기타);-0.72;-59.13%;0.0
승강기유지관리업체;-0.71;-100.0%;0.0
승강기제조및수입업체;-0.06;-100.0%;0.31
승마장업;-0.4;-100.0%;0.16
시내순환관광업;-0.4;-100.0%;0.14
식육포장처리업;1.27;172.61%;0.03
썰매장업;0.01;3.87%;0.46
쓰레기종량제봉투판매업;0.24;2362.89%;0.04
안경업;0.24;2362.89%;0.04
안전상비의약품 판매업소;-0.38;-27.37%;0.22
액화석유가스용품제조업체;-0.02;-100.0%;0.44
약국;1.01;-388.19%;0.0
옥외광고업;19.61;-285.98%;0.0
외국인관광도시민박업;-0.53;-51.37%;0.12
외국인전용유흥음식점업;-0.53;-51.37%;0.13
요양보호사교육기관;-0.09;-100.0%;0.1
용기냉동기특정설비;-0.58;-100.0%;0.07
유원시설업(기타);0.77;62.83%;0.02
음반물제작업;0.77;62.83%;0.03
응급환자이송업;0.77;62.83%;0.03
의료기관세탁물처리업;0.03;-100.0%;0.44
의료기기수리업;-0.22;-100.0%;0.11
의료기기판매(임대)업;0.78;39.33%;0.24
의료유사업;-0.25;-33.09%;0.24
의원;0.12;10.91%;0.42
인쇄사;0.12;10.91%;0.41
인터넷컴퓨터게임시설제공업;-0.85;-77.37%;0.24
일반게임제공업;1.01;-132.84%;0.02
일반야영장업;0.15;6.32%;0.39
일반유원시설업;1.24;478.31%;0.0
자동차야영장업;0.17;-100.0%;0.24
장례지도사 교육기관;0.17;-100.0%;0.22
저수조청소업;0.7;1398.01%;0.02
전력기술감리업체;0.7;1398.01%;0.02
전력기술설계업체;0.7;1398.01%;0.03
전화권유판매업;0.98;-427.08%;0.09
종축업;0.58;136.63%;0.0
종합여행업;1.56;352.8%;0.08
종합유원시설업;1.56;352.8%;0.09
종합체육시설업;0.1;23.63%;0.12
집유업;-0.53;-100.0%;0.0
청소년게임제공업;-0.05;-100.0%;0.45
체력단련장업;0.3;-556.92%;0.1
체육도장업;-0.51;-50.42%;0.08
축산가공업;2.07;41.95%;0.02
축산물보관업;-0.29;-100.0%;0.11
축산물운반업;1.31;-161.57%;0.02
축산판매업;-0.62;-14.28%;0.28
출판사;-0.5;-100.0%;0.04
치과기공소;-0.5;-100.0%;0.03
통신판매업;-47.84;-38.32%;0.01
한옥체험업;-47.84;-38.32%;0.01
환경관리대행기관;0.04;-100.0%;0.37
환경전문공사업;-0.28;-100.0%;0.04
환경측정대행업;-0.28;-100.0%;0.04
