업종;절대효과;상대효과;p-value
담배소매업;45.43;4.33%;0.2
목욕장업;-7.56;-26.46%;0.08
숙박업;-29.78;-35.65%;0.04
석유판매업;-2.02;-9.83%;0.36
일반음식점;-474.88;-8.26%;0.18
집단급식소;-40.66;-22.86%;0.1
이용업;-24.38;-22.29%;0.02
휴게음식점;-150.07;-5.64%;0.28
즉석판매제조가공업;177.07;4.44%;0.2
약국;-5.16;-7.03%;0.24
석유및석유대체연료판매업체;0.57;48.9%;0.09
의원;-9.48;-7.14%;0.19
고압가스업;-7.41;-16.32%;0.12
미용업;-104.45;-9.74%;0.17
인쇄사;-6.67;-41.91%;0.01
종축업;-2.58;-59.56%;0.01
대기오염물질배출시설설치사업장;24.11;60.82%;0.15
출판사;-57.87;-42.83%;0.0
옹기류제조업;-1.04;-100.0%;0.0
식품자동판매기업;-110.39;-26.1%;0.01
축산판매업;-19.38;-7.0%;0.21
동물병원;-3.21;-19.8%;0.08
유흥주점영업;-12.07;-18.77%;0.15
식용얼음판매업;-0.73;-49.21%;0.16
동물용의약품도매상;0.97;47.84%;0.1
가축인공수정소;-0.45;-12.99%;0.32
제과점영업;-12.0;-4.61%;0.27
의료기기판매(임대)업;-18.69;-3.05%;0.4
안경업;-5.17;-21.86%;0.12
소독업;-11.4;-11.79%;0.13
식품제조가공업;-50.86;-23.21%;0.11
용기·포장지제조업;-6.62;-55.76%;0.0
국내여행업;-64.24;-57.11%;0.09
당구장업;-5.06;-7.2%;0.44
세탁업;-22.37;-18.1%;0.1
체육도장업;-2.37;-5.76%;0.35
건물위생관리업;-37.07;-25.51%;0.11
대규모점포;-0.55;-21.5%;0.34
단독정화조/오수처리시설설계시공업;-0.66;-27.42%;0.25
일반게임제공업;5.46;19.11%;0.16
부화업;-0.1;-28.99%;0.37
단란주점영업;-8.28;-21.48%;0.24
종합체육시설업;-0.37;-42.63%;0.16
농어촌민박업;-9.8;-5.77%;0.45
특정고압가스업;3.8;37.21%;0.25
옥외광고업;17.94;33.18%;0.35
식품소분업;-23.64;-16.01%;0.16
분뇨수집운반업;-0.77;-50.56%;0.12
외국인전용유흥음식점업;-0.07;-8.51%;0.45
체력단련장업;11.84;42.05%;0.12
유료직업소개소;5.17;3.84%;0.4
영화상영관;-2.21;-52.51%;0.21
산후조리업;0.27;15.55%;0.37
노래연습장업;-1.36;-2.27%;0.46
비디오물시청제공업;0.03;-100.0%;0.44
병원;0.92;12.95%;0.32
무도장업;0.23;84.42%;0.35
골프연습장업;5.03;18.15%;0.37
동물약국;0.57;1.01%;0.44
식품운반업;-4.41;-26.88%;0.09
복합유통게임제공업;-0.29;-3.26%;0.44
식품판매업(기타);-2.33;-7.7%;0.32
무도학원업;0.46;16.39%;0.34
의료유사업;-0.48;-6.24%;0.34
계량기증명업;-0.95;-65.59%;0.16
쓰레기종량제봉투판매업;-29.46;-48.93%;0.14
음반.음악영상물제작업;-1.0;-9.73%;0.28
치과기공소;1.6;15.77%;0.22
수영장업;1.2;77.84%;0.04
국내외여행업;-8.35;-26.01%;0.07
유통전문판매업;-53.97;-23.65%;0.05
식품냉동냉장업;0.45;17.63%;0.31
인터넷컴퓨터게임시설제공업;-2.26;-1.41%;0.4
수질오염원설치시설(기타);0.28;1.58%;0.49
가축분뇨 수집운반업;0.05;6.65%;0.45
통신판매업;-2402.03;-33.82%;0.03
비디오물감상실업;0.58;34.7%;0.25
방문판매업;37.07;99.68%;0.27
다단계판매업체;0.1;11.08%;0.44
무료직업소개소;6.23;190.95%;0.01
축산물운반업;3.8;317.76%;0.32
썰매장업;-1.2;-61.6%;0.03
급수공사대행업;-0.19;-100.0%;0.26
식품첨가물제조업;-6.91;-49.69%;0.01
축산가공업;-12.23;-24.1%;0.07
저수조청소업;-1.33;-11.22%;0.31
축산물보관업;1.09;37.37%;0.22
음반.음악영상물배급업;-0.61;-54.96%;0.13
개인하수처리시설관리업(사업장);-1.62;-51.93%;0.07
동물용의료용구판매업;-0.6;-6.95%;0.34
용기냉동기특정설비;-0.68;-23.2%;0.26
건설폐기물처리업;-0.78;-22.06%;0.15
비디오물배급업;-0.97;-49.28%;0.08
비디오물제작업;-5.78;-30.38%;0.03
빙상장업;-0.51;-50.74%;0.22
배출가스전문정비사업자(확인검사대행자);-1.69;-100.0%;0.0
관광식당;-0.06;-20.16%;0.37
영화수입업;-0.88;-36.94%;0.19
영화제작업;-2.86;-40.22%;0.05
비디오물소극장업;-0.13;-100.0%;0.24
담배도매업;-0.12;-19.97%;0.46
전화권유판매업;-4.05;-14.84%;0.2
가축분뇨배출시설관리업(사업장);-0.91;-54.86%;0.05
도축업;-0.11;-100.0%;0.23
게임물제작업;-3.43;-30.68%;0.02
식육포장처리업;-35.94;-45.96%;0.0
계량기수리업;-0.64;-71.87%;0.03
위탁급식영업;-47.9;-35.44%;0.02
승마장업;-0.09;-25.95%;0.39
부속의료기관;0.74;282.74%;0.06
영화상영업;0.13;8.14%;0.45
관광숙박업;-1.28;-28.31%;0.13
