업종;절대효과;상대효과;p-value
가축분뇨 수집운반업;-1.79;-64.11%;0.04
가축분뇨배출시설관리업(사업장);0.12;6.3%;0.42
가축사육업;13.35;5.5%;0.32
가축인공수정소;0.01;0.08%;0.48
개인하수처리시설관리업(사업장);-0.02;-1.05%;0.47
건강기능식품유통전문판매업;7.33;9.15%;0.12
건강기능식품일반판매업;-1037.04;-31.48%;0.0
건물위생관리업;-27.96;-19.66%;0.02
건설폐기물처리업;12.47;28.99%;0.0
게임물배급업;7.43;68.64%;0.0
게임물제작업;12.81;55.81%;0.0
계량기수리업;-0.31;-8.59%;0.33
계량기수입업;0.32;48.09%;0.32
계량기제조업;-0.26;-4.49%;0.45
계량기증명업;-0.54;-9.8%;0.36
고압가스업;-13.73;-15.26%;0.03
골프연습장업;-9.22;-36.19%;0.0
골프장;-0.37;-100.0%;0.06
관광숙박업;2.21;15.71%;0.19
관광식당;-0.88;-100.0%;0.01
관광유흥음식점업;-0.88;-100.0%;0.01
관광펜션업;1.99;20.91%;0.09
국내여행업;4.13;27.32%;0.06
국내외여행업;-4.79;-7.06%;0.18
국제물류주선업;1.48;10.74%;0.32
급수공사대행업;-1.54;-22.72%;0.31
노래연습장업;-1.54;-22.72%;0.28
농어촌민박업;56.15;16.38%;0.02
다단계판매업체;0.32;26.68%;0.25
단독정화조/오수처리시설설계시공업;-1.07;-46.11%;0.08
단란주점영업;-5.42;-17.53%;0.02
담배도매업;-0.27;-15.47%;0.39
담배소매업;55.59;5.43%;0.11
담배수입판매업체;-0.23;-23.41%;0.31
당구장업;14.92;43.16%;0.0
대규모점포;1.66;38.24%;0.09
대기오염물질배출시설설치사업장;-48.1;-21.18%;0.12
도축업;0.25;15432.35%;0.04
동물미용업;15.21;12.36%;0.07
동물병원;7.52;34.62%;0.01
동물생산업;-0.08;-0.43%;0.49
동물수입업;-0.62;-38.15%;0.18
동물약국;12.65;8.4%;0.24
동물용의료용구판매업;-10.47;-25.87%;0.37
동물용의약품도매상;1.51;54.93%;0.04
동물운송업;-21.7;-30.91%;0.0
동물위탁관리업;14.39;18.66%;0.0
동물장묘업;-0.43;-63.11%;0.21
동물전시업;-0.98;-10.88%;0.19
동물판매업;-9.56;-22.34%;0.0
등록체육시설업;-0.02;-3.99%;0.44
목욕장업;0.85;8.8%;0.36
목재수입유통업;4.46;24.42%;0.03
무도장업;0.54;250.81%;0.09
무도학원업;-0.73;-59.25%;0.2
무료직업소개소;-7.74;-64.54%;0.0
물류창고업체;-5.95;-24.09%;0.14
미용업;33.13;2.15%;0.35
민방위급수시설;5.14;35.22%;0.32
민방위대피시설;21.44;65.84%;0.01
방문판매업;-30.89;-15.43%;0.13
배출가스전문정비사업자(확인검사대행자);2.77;-156.62%;0.19
병원;-0.36;-9.87%;0.39
복합영상물제공업;-0.36;-9.87%;0.4
복합유통게임제공업;2.56;24.57%;0.09
부속의료기관;0.22;42.07%;0.31
부화업;-0.29;-100.0%;0.19
분뇨수집운반업;1.13;100.72%;0.02
비디오물감상실업;-0.03;-100.0%;0.45
비디오물배급업;-1.87;-26.3%;0.08
비디오물소극장업;-1.87;-26.3%;0.08
비디오물시청제공업;-1.87;-26.3%;0.09
비디오물제작업;19.9;13.57%;0.09
빙상장업;0.16;48.12%;0.34
사료제조업;14.91;16.42%;0.08
산후조리업;0.33;77.98%;0.29
상조업;-0.12;-32.13%;0.22
석연탄제조업;0.03;-100.0%;0.45
석유및석유대체연료판매업체;-0.3;-6.51%;0.4
석유판매업;-3.68;-40.1%;0.05
세탁업;1.0;3.58%;0.38
소독업;-7.8;-10.46%;0.27
수영장업;3.52;70.67%;0.0
수질오염원설치시설(기타);143.9;-185.32%;0.34
숙박업;18.44;28.67%;0.01
스키장;18.44;28.67%;0.01
승강기유지관리업체;1.26;56.17%;0.12
승강기제조및수입업체;0.11;7.84%;0.44
승마장업;0.11;29.13%;0.31
식용얼음판매업;-0.19;-100.0%;0.11
식육포장처리업;0.32;0.51%;0.48
식품냉동냉장업;3.76;51.97%;0.01
식품소분업;22.53;19.18%;0.01
식품운반업;-0.69;-3.69%;0.45
식품자동판매기업;94.86;28.24%;0.0
식품제조가공업;12.18;6.9%;0.11
식품첨가물제조업;0.77;11.41%;0.34
식품판매업(기타);4.18;17.55%;0.13
썰매장업;-1.44;-85.24%;0.01
쓰레기종량제봉투판매업;31.44;18.46%;0.33
안경업;-1.15;-4.17%;0.36
안전상비의약품 판매업소;13.49;3.21%;0.23
액화석유가스용품제조업체;-1.33;-63.97%;0.02
약국;0.07;0.06%;0.49
영화배급업;-1.77;-13.09%;0.23
영화상영관;3.47;46.02%;0.25
영화상영업;-0.44;-8.93%;0.38
영화수입업;0.22;3.46%;0.44
영화제작업;-7.57;-17.89%;0.19
옥외광고업;19.13;16.69%;0.07
온라인음악서비스제공업;-0.46;-100.0%;0.11
옹기류제조업;-0.46;-100.0%;0.11
외국인관광도시민박업;40.95;95.66%;0.0
외국인전용유흥음식점업;0.24;23.59%;0.3
요양보호사교육기관;-2.68;-21.13%;0.16
요트장업;-2.68;-21.13%;0.17
용기·포장지제조업;-2.53;-21.47%;0.09
용기냉동기특정설비;3.24;56.29%;0.02
원목생산업;-3.55;-26.67%;0.13
위탁급식영업;-34.82;-25.69%;0.0
유료직업소개소;9.08;5.06%;0.1
유통전문판매업;67.53;23.72%;0.0
유흥주점영업;-1.11;-2.79%;0.41
음반.음악영상물배급업;-1.56;-23.74%;0.15
음반.음악영상물제작업;-2.84;-8.71%;0.26
음반물배급업;0.06;-100.0%;0.41
음반물제작업;0.25;-100.0%;0.37
응급환자이송업;-0.19;-19.9%;0.34
