업종;절대효과;상대효과;p-value
담배소매업;-5.76;-16.34%;0.06
방문판매업;1.88;215.75%;0.21
약국;0.68;900.69%;0.0
옥외광고업;3.26;48.36%;0.04
쓰레기종량제봉투판매업;3.26;48.36%;0.04
당구장업;-0.28;-52.93%;0.33
체육도장업;-0.47;-65.04%;0.15
축산가공업;-0.51;-13.64%;0.32
수영장업;0.71;240.71%;0.03
국내외여행업;1.04;107.33%;0.06
골프연습장업;0.11;28.52%;0.37
고압가스업;3.33;43.34%;0.04
체력단련장업;0.62;487.79%;0.0
분뇨수집운반업;-0.03;-100.0%;0.37
단독정화조/오수처리시설설계시공업;-0.07;-22.64%;0.33
대기오염물질배출시설설치사업장;1.08;92.23%;0.08
개인하수처리시설관리업(사업장);0.03;-100.0%;0.45
종합체육시설업;0.62;464.81%;0.0
관광숙박업;-1.09;-68.47%;0.03
축산판매업;0.07;3.81%;0.46
국내여행업;0.0;1.71%;0.49
통신판매업;-25.8;-26.11%;0.15
비디오물시청제공업;-25.8;-26.11%;0.15
영화상영관;0.08;-100.0%;0.38
부화업;-0.32;-56.27%;0.04
비디오물감상실업;-0.32;-56.27%;0.05
동물병원;-0.09;-25.59%;0.31
공연장;-0.09;-25.59%;0.32
대규모점포;-0.03;-100.0%;0.43
노래연습장업;1.24;164.21%;0.01
일반게임제공업;-0.41;-100.0%;0.12
저수조청소업;0.1;25.91%;0.34
식육포장처리업;0.31;32.67%;0.34
무도학원업;-0.5;-100.0%;0.01
인쇄사;-0.5;-100.0%;0.01
가축사육업;2.29;4.26%;0.43
담배수입판매업체;-0.35;-100.0%;0.05
가축분뇨 수집운반업;-0.35;-100.0%;0.04
사료제조업;-0.55;-42.21%;0.17
일반유원시설업;0.69;226.12%;0.0
석유판매업;1.17;21.96%;0.05
액화석유가스용품제조업체;0.18;271.14%;0.08
관광사업자;0.18;238.34%;0.22
게임물제작업;0.18;238.34%;0.28
게임물배급업;0.18;238.34%;0.26
건설폐기물처리업;0.18;238.34%;0.24
담배도매업;0.18;238.34%;0.27
동물용의약품도매상;0.18;238.34%;0.28
출판사;-0.34;-100.0%;0.05
안경업;-0.34;-100.0%;0.05
의원;1.15;103.71%;0.0
용기냉동기특정설비;-0.3;-100.0%;0.16
축산물보관업;0.24;1661.83%;0.02
가축인공수정소;-0.55;-100.0%;0.04
인터넷컴퓨터게임시설제공업;-0.04;-100.0%;0.5
부속의료기관;-0.04;-100.0%;0.47
소독업;-0.28;-10.98%;0.35
의료유사업;0.0;0.68%;0.49
청소년게임제공업;-0.19;-100.0%;0.25
빙상장업;-0.19;-100.0%;0.27
전화권유판매업;-0.91;-64.59%;0.13
종축업;0.44;672.75%;0.0
종합여행업;0.71;90.36%;0.23
의료기기판매(임대)업;0.7;27.57%;0.21
승마장업;-0.18;-100.0%;0.15
외국인전용유흥음식점업;-0.02;-100.0%;0.42
산후조리업;0.69;64.96%;0.07
썰매장업;0.25;-9261.17%;0.11
동물판매업;-0.55;-100.0%;0.05
시내순환관광업;-0.55;-100.0%;0.06
관광유람선업;0.18;55.46%;0.12
의료기기수리업;0.04;-100.0%;0.4
승강기유지관리업체;0.35;-351.56%;0.11
종합유원시설업;0.35;-351.56%;0.12
안전상비의약품 판매업소;-0.65;-46.29%;0.14
요양보호사교육기관;-0.65;-46.29%;0.15
관광펜션업;-0.65;-46.29%;0.13
영화제작업;-0.65;-46.29%;0.15
장례지도사 교육기관;-0.65;-46.29%;0.14
환경측정대행업;-0.65;-46.29%;0.16
급수공사대행업;-0.65;-46.29%;0.13
유원시설업(기타);1.5;198.06%;0.0
대중문화예술기획업;0.39;108.9%;0.1
병원;0.3;145.91%;0.0
후원방문판매업체;-0.07;-100.0%;0.39
계량기증명업;-0.11;-100.0%;0.35
동물약국;0.0;-100.0%;0.49
외국인관광도시민박업;0.11;16.38%;0.39
관광공연장업;0.11;16.38%;0.39
일반야영장업;0.68;22.19%;0.18
승강기제조및수입업체;-0.28;-100.0%;0.03
석연탄제조업;-0.16;-100.0%;0.02
응급환자이송업;-0.16;-100.0%;0.03
수질오염원설치시설(기타);-0.29;-100.0%;0.04
물류창고업체;-0.29;-100.0%;0.04
다단계판매업체;-0.29;-100.0%;0.05
자동차야영장업;-0.38;-100.0%;0.04
축산물운반업;-0.16;-100.0%;0.21
동물수입업;-0.16;-100.0%;0.19
의료기관세탁물처리업;0.06;-100.0%;0.37
동물생산업;1.01;136.6%;0.0
동물위탁관리업;0.03;7.15%;0.4
도축업;-0.22;-100.0%;0.09
동물전시업;-0.22;-100.0%;0.08
농어촌민박업;-0.34;-25.18%;0.37
영화상영업;-0.34;-25.18%;0.38
동물미용업;0.07;10.28%;0.37
환경관리대행기관;0.07;10.28%;0.36
환경전문공사업;0.07;10.28%;0.41
동물운송업;0.07;10.28%;0.39
전문휴양업;0.07;10.28%;0.41
치과기공소;0.07;10.28%;0.38
동물장묘업;0.07;10.28%;0.4
집유업;0.07;10.28%;0.41
동물용의료용구판매업;0.07;10.28%;0.37
