업종;절대효과;상대효과;p-value
가축분뇨 수집운반업;-0.1;-100.0%;0.23
가축분뇨배출시설관리업(사업장);0.18;261.09%;0.1
가축사육업;-39.83;-49.74%;0.01
가축인공수정소;0.26;-3132.43%;0.04
개인하수처리시설관리업(사업장);0.05;23.99%;0.45
건설폐기물처리업;1.82;196.97%;0.0
게임물배급업;1.82;196.97%;0.0
게임물제작업;1.82;196.97%;0.0
계량기증명업;0.04;-100.0%;0.39
고압가스업;-0.71;-3.02%;0.38
골프연습장업;0.25;32.47%;0.14
공연장;-0.54;-68.53%;0.0
관광공연장업;-0.54;-68.53%;0.01
관광사업자;-0.06;-18.81%;0.35
관광숙박업;-0.38;-11.19%;0.37
관광유람선업;-0.34;-100.0%;0.04
관광펜션업;-0.34;-100.0%;0.03
국내여행업;0.68;119.61%;0.05
국내외여행업;1.49;59.46%;0.01
급수공사대행업;1.49;59.46%;0.0
노래연습장업;0.05;2.35%;0.47
농어촌민박업;-0.1;-5.19%;0.46
다단계판매업체;-0.1;-5.19%;0.49
단독정화조/오수처리시설설계시공업;0.33;-394.45%;0.31
담배도매업;0.33;-394.45%;0.31
담배소매업;-21.14;-42.8%;0.03
담배수입판매업체;-0.06;-100.0%;0.48
당구장업;1.0;132.79%;0.07
대규모점포;0.71;241.54%;0.0
대기오염물질배출시설설치사업장;-0.79;-23.97%;0.26
대중문화예술기획업;-0.54;-34.86%;0.17
도축업;0.75;302.44%;0.0
동물미용업;1.07;114.08%;0.0
동물병원;1.0;198.52%;0.0
동물생산업;-0.4;-8.7%;0.36
동물수입업;-0.4;-8.7%;0.36
동물약국;-0.05;-17.75%;0.39
동물용의료용구판매업;-0.05;-17.75%;0.35
동물용의약품도매상;0.56;299.88%;0.01
동물운송업;0.46;57.6%;0.02
동물위탁관리업;-0.13;-9.49%;0.43
동물장묘업;-0.13;-9.49%;0.38
동물전시업;-0.08;-25.35%;0.32
동물판매업;1.12;52.36%;0.01
무도학원업;-0.15;-37.14%;0.25
물류창고업체;-0.19;-100.0%;0.07
방문판매업;0.68;119.97%;0.44
병원;0.96;34.26%;0.01
부속의료기관;0.96;34.26%;0.01
부화업;-0.29;-37.02%;0.1
분뇨수집운반업;1.06;-1651.57%;0.0
비디오물감상실업;1.06;-1651.57%;0.0
비디오물시청제공업;1.06;-1651.57%;0.0
빙상장업;1.06;-1651.57%;0.0
사료제조업;2.14;192.63%;0.0
산후조리업;2.25;300.36%;0.0
석연탄제조업;-0.08;-24.47%;0.29
석유판매업;6.87;32.49%;0.0
소독업;0.87;9.76%;0.16
수영장업;1.42;106.93%;0.0
수질오염원설치시설(기타);-0.24;-32.26%;0.23
승강기유지관리업체;-0.14;-100.0%;0.29
승강기제조및수입업체;-0.2;-100.0%;0.1
승마장업;-0.17;-100.0%;0.31
시내순환관광업;-0.17;-100.0%;0.28
식육포장처리업;0.19;3.31%;0.41
썰매장업;-1.11;-81.58%;0.0
쓰레기종량제봉투판매업;-0.17;-100.0%;0.14
안경업;-0.17;-100.0%;0.13
안전상비의약품 판매업소;-0.58;-24.74%;0.13
액화석유가스용품제조업체;-0.32;-55.96%;0.06
약국;1.32;68.61%;0.0
옥외광고업;3.52;61.32%;0.31
외국인관광도시민박업;0.31;33.03%;0.21
외국인전용유흥음식점업;0.31;33.03%;0.23
요양보호사교육기관;-0.37;-100.0%;0.0
용기냉동기특정설비;0.82;119.78%;0.01
유원시설업(기타);-0.38;-14.29%;0.2
음반물제작업;-0.38;-14.29%;0.21
응급환자이송업;-0.38;-14.29%;0.21
의료기관세탁물처리업;0.28;-860.12%;0.01
의료기기수리업;-0.17;-40.6%;0.17
의료기기판매(임대)업;0.82;14.43%;0.26
의료유사업;0.41;25.47%;0.16
의원;5.5;68.69%;0.0
인쇄사;5.5;68.69%;0.0
인터넷컴퓨터게임시설제공업;-0.63;-45.71%;0.26
일반게임제공업;-0.13;-100.0%;0.38
일반야영장업;-1.43;-22.23%;0.09
일반유원시설업;1.39;75.1%;0.0
자동차야영장업;-0.17;-40.58%;0.24
장례지도사 교육기관;-0.17;-40.58%;0.27
저수조청소업;-0.28;-27.07%;0.23
전력기술감리업체;-0.28;-27.07%;0.24
전력기술설계업체;-0.28;-27.07%;0.21
전문휴양업;0.33;198.62%;0.0
전화권유판매업;-0.33;-100.0%;0.3
종축업;-0.5;-100.0%;0.03
종합여행업;-0.98;-43.89%;0.17
종합유원시설업;-0.98;-43.89%;0.18
종합체육시설업;-0.48;-65.58%;0.01
집유업;0.23;1482.31%;0.03
청소년게임제공업;-0.21;-100.0%;0.3
체력단련장업;1.74;229.79%;0.0
체육도장업;0.41;70.14%;0.12
축산가공업;-5.14;-42.35%;0.0
축산물보관업;-0.05;-15.53%;0.44
축산물운반업;0.51;-7861.66%;0.16
축산판매업;-1.99;-41.93%;0.03
출판사;-0.35;-100.0%;0.11
치과기공소;-0.35;-100.0%;0.09
통신판매업;-49.39;-28.2%;0.02
한옥체험업;-49.39;-28.2%;0.02
환경관리대행기관;-0.11;-100.0%;0.22
환경전문공사업;0.13;114.63%;0.21
환경측정대행업;0.13;114.63%;0.21
