업종;절대효과;상대효과;p-value
담배소매업;-58.3;-5.62%;0.1
목욕장업;20.63;118.76%;0.0
숙박업;11.46;13.84%;0.22
석유판매업;3.14;15.23%;0.28
일반음식점;1530.36;32.23%;0.0
집단급식소;0.22;0.13%;0.49
이용업;18.16;19.93%;0.07
휴게음식점;1116.08;63.52%;0.0
즉석판매제조가공업;512.12;14.0%;0.01
약국;-5.22;-6.34%;0.25
석유및석유대체연료판매업체;0.62;55.38%;0.08
의원;3.69;2.91%;0.38
고압가스업;-6.13;-11.87%;0.16
미용업;422.35;58.53%;0.0
인쇄사;-2.68;-16.33%;0.19
종축업;2.71;97.12%;0.01
대기오염물질배출시설설치사업장;4.85;11.78%;0.41
출판사;58.57;68.97%;0.0
옹기류제조업;0.73;-318.11%;0.0
식품자동판매기업;-21.89;-4.9%;0.31
축산판매업;-25.37;-8.5%;0.15
동물병원;-1.14;-7.51%;0.3
유흥주점영업;12.94;20.05%;0.13
식용얼음판매업;1.57;361.74%;0.01
동물용의약품도매상;1.25;165.4%;0.05
가축인공수정소;2.57;179.75%;0.0
제과점영업;28.77;12.09%;0.09
의료기기판매(임대)업;222.43;50.77%;0.0
안경업;-5.51;-18.53%;0.12
소독업;63.54;133.9%;0.0
식품제조가공업;111.53;83.09%;0.01
용기·포장지제조업;-0.4;-3.76%;0.42
국내여행업;-89.63;-50.67%;0.02
당구장업;-33.88;-33.01%;0.13
세탁업;42.38;43.09%;0.01
체육도장업;-0.13;-0.35%;0.48
건물위생관리업;88.51;116.09%;0.0
대규모점포;-0.42;-12.23%;0.35
단독정화조/오수처리시설설계시공업;0.42;16.43%;0.38
일반게임제공업;23.65;208.44%;0.0
부화업;0.62;-500.69%;0.07
단란주점영업;-22.91;-37.15%;0.03
종합체육시설업;0.4;65.61%;0.16
농어촌민박업;181.84;499.4%;0.0
특정고압가스업;2.36;21.72%;0.34
옥외광고업;100.97;-286.67%;0.01
식품소분업;74.66;76.3%;0.0
분뇨수집운반업;-2.34;-75.75%;0.0
외국인전용유흥음식점업;-1.64;-62.05%;0.01
체력단련장업;-0.82;-2.94%;0.48
유료직업소개소;22.04;18.22%;0.13
영화상영관;7.03;-459.96%;0.0
산후조리업;0.02;1.51%;0.5
노래연습장업;24.08;47.28%;0.11
비디오물시청제공업;0.24;-100.0%;0.23
병원;0.64;9.61%;0.35
무도장업;-1.04;-80.67%;0.05
골프연습장업;31.36;1085.54%;0.02
동물약국;-0.63;-1.15%;0.43
식품운반업;-1.41;-9.99%;0.34
복합유통게임제공업;2.89;37.99%;0.07
식품판매업(기타);2.27;7.45%;0.32
무도학원업;-0.68;-23.11%;0.3
