업종;절대효과;상대효과;p-value
가축분뇨 수집운반업;-1.06;-24.53%;0.12
가축분뇨배출시설관리업(사업장);2.55;-5361.91%;0.0
가축사육업;22.56;8.77%;0.21
가축인공수정소;6.16;73.77%;0.04
개인하수처리시설관리업(사업장);0.17;12.6%;0.42
건강기능식품유통전문판매업;-8.69;-11.45%;0.06
건강기능식품일반판매업;-1081.69;-27.38%;0.0
건물위생관리업;56.17;60.83%;0.0
건설폐기물처리업;-2.81;-6.57%;0.16
게임물배급업;6.33;122.29%;0.02
게임물제작업;5.4;30.29%;0.12
계량기수리업;1.06;33.27%;0.07
계량기수입업;-0.14;-15.75%;0.42
계량기제조업;-0.63;-9.21%;0.31
계량기증명업;-1.66;-24.89%;0.13
고압가스업;12.05;13.47%;0.04
골프연습장업;-14.64;-39.95%;0.0
골프장;-0.36;-100.0%;0.07
관광숙박업;10.98;243.16%;0.0
관광식당;0.46;85.17%;0.14
관광유흥음식점업;0.46;85.17%;0.12
관광펜션업;-0.63;-7.74%;0.35
국내여행업;-5.36;-29.58%;0.02
국내외여행업;-35.6;-40.53%;0.0
국제물류주선업;0.14;1.09%;0.5
급수공사대행업;8.81;4760.02%;0.0
노래연습장업;8.81;4760.02%;0.0
농어촌민박업;-70.54;-18.4%;0.01
다단계판매업체;1.16;1252.17%;0.0
단독정화조/오수처리시설설계시공업;1.43;108.0%;0.04
단란주점영업;-1.9;-5.48%;0.14
담배도매업;-1.4;-48.29%;0.21
담배소매업;25.56;2.66%;0.29
담배수입판매업체;0.17;20.24%;0.34
당구장업;0.37;1.04%;0.45
대규모점포;-2.71;-45.49%;0.02
대기오염물질배출시설설치사업장;99.72;63.6%;0.02
도축업;-0.0;-100.0%;0.5
동물미용업;-34.8;-24.85%;0.0
동물병원;-6.33;-24.52%;0.03
동물생산업;-7.16;-26.86%;0.0
동물수입업;-0.67;-40.12%;0.14
동물약국;-8.55;-6.1%;0.27
동물용의료용구판매업;-73.23;-74.93%;0.01
동물용의약품도매상;-0.05;-2.46%;0.47
동물운송업;-12.48;-16.47%;0.02
동물위탁관리업;-18.64;-20.97%;0.0
동물장묘업;-0.78;-75.62%;0.08
동물전시업;-1.71;-16.75%;0.07
동물판매업;-0.99;-2.5%;0.35
등록체육시설업;0.92;1086.17%;0.0
목욕장업;2.95;45.12%;0.07
목재수입유통업;9.55;89.29%;0.0
무도장업;0.94;-212.59%;0.02
무도학원업;2.14;-240.21%;0.0
무료직업소개소;7.15;112.72%;0.0
물류창고업체;-28.36;-69.83%;0.0
미용업;-88.25;-6.11%;0.15
민방위급수시설;0.78;7.83%;0.48
민방위대피시설;41.99;-1687.83%;0.0
방문판매업;-158.44;-48.87%;0.0
배출가스전문정비사업자(확인검사대행자);11.39;-109.62%;0.0
병원;0.85;26.91%;0.28
복합영상물제공업;0.85;26.91%;0.3
복합유통게임제공업;-6.53;-40.72%;0.0
부속의료기관;-1.98;-100.0%;0.0
부화업;-0.6;-70.58%;0.02
분뇨수집운반업;-0.99;-44.12%;0.05
비디오물감상실업;-0.15;-100.0%;0.25
비디오물배급업;-2.61;-33.23%;0.03
비디오물소극장업;-2.61;-33.23%;0.02
비디오물시청제공업;-2.61;-33.23%;0.02
비디오물제작업;1.2;1.0%;0.49
빙상장업;0.06;14.62%;0.44
사료제조업;35.38;60.09%;0.0
산후조리업;-0.03;-6.06%;0.49
상조업;-0.22;-100.0%;0.09
석연탄제조업;0.19;-100.0%;0.11
석유및석유대체연료판매업체;-1.74;-25.85%;0.04
석유판매업;2.31;25.13%;0.07
세탁업;9.05;43.2%;0.0
소독업;56.23;152.94%;0.0
수영장업;-1.52;-24.24%;0.12
수질오염원설치시설(기타);964.59;-107.29%;0.03
숙박업;17.32;38.78%;0.01
스키장;17.32;38.78%;0.01
승강기유지관리업체;1.58;111.6%;0.07
승강기제조및수입업체;1.3;185.84%;0.02
승마장업;0.61;451.98%;0.0
식용얼음판매업;-0.21;-100.0%;0.08
식육포장처리업;4.31;7.04%;0.22
식품냉동냉장업;0.18;3.04%;0.44
식품소분업;15.66;16.42%;0.05
식품운반업;1.04;7.59%;0.44
식품자동판매기업;-5.16;-1.67%;0.39
식품제조가공업;19.94;12.58%;0.03
식품첨가물제조업;-6.19;-50.79%;0.0
식품판매업(기타);-7.16;-24.15%;0.02
썰매장업;2.9;-1905.0%;0.0
쓰레기종량제봉투판매업;200.49;593.83%;0.01
안경업;6.82;30.75%;0.03
안전상비의약품 판매업소;-27.5;-6.32%;0.07
액화석유가스용품제조업체;-1.09;-35.21%;0.04
약국;-41.33;-29.88%;0.0
영화배급업;-6.29;-39.84%;0.0
영화상영관;16.35;-527.71%;0.0
영화상영업;7.56;-485.53%;0.0
영화수입업;-2.28;-34.92%;0.06
영화제작업;-31.12;-56.2%;0.0
옥외광고업;7.26;7.51%;0.32
온라인음악서비스제공업;0.19;59.87%;0.32
옹기류제조업;0.19;59.87%;0.31
외국인관광도시민박업;2.58;6.84%;0.15
외국인전용유흥음식점업;-0.79;-38.78%;0.01
요양보호사교육기관;9.47;250.63%;0.0
요트장업;9.47;250.63%;0.0
용기·포장지제조업;-1.98;-15.28%;0.17
용기냉동기특정설비;3.17;95.1%;0.04
원목생산업;-2.26;-12.73%;0.22
위탁급식영업;-23.82;-17.34%;0.01
유료직업소개소;-17.12;-10.18%;0.0
유통전문판매업;55.22;26.23%;0.0
유흥주점영업;-0.8;-1.93%;0.42
음반.음악영상물배급업;-0.6;-9.09%;0.36
음반.음악영상물제작업;-6.18;-17.2%;0.07
음반물배급업;-0.11;-100.0%;0.33
음반물제작업;-1.14;-100.0%;0.07
응급환자이송업;-1.51;-85.79%;0.0
의료기관세탁물처리업;0.25;-100.0%;0.25
의료기기수리업;4.21;39.97%;0.05
의료기기판매(임대)업;-1279.75;-40.14%;0.14
의료법인;-0.7;-73.8%;0.1
의료유사업;-4.44;-51.09%;0.0
의원;-56.98;-23.62%;0.0
이용업;5.04;10.73%;0.08
인쇄사;0.92;2.12%;0.44
인터넷컴퓨터게임시설제공업;1.32;0.75%;0.46
일반게임제공업;15.23;135.04%;0.0
일반야영장업;-8.24;-19.98%;0.08
일반음식점;460.8;10.37%;0.05
자동차야영장업;-1.8;-20.5%;0.07
장례지도사 교육기관;-1.28;-83.67%;0.0
저수조청소업;0.91;2.84%;0.39
전력기술감리업체;2.03;35.47%;0.14
전력기술설계업체;0.95;25.0%;0.2
전화권유판매업;2.05;4.0%;0.35
제과점영업;-23.92;-14.02%;0.0
제재업;0.99;9.43%;0.33
종축업;0.31;12.86%;0.33
종합여행업;-51.84;-35.37%;0.0
종합체육시설업;0.09;10.29%;0.46
즉석판매제조가공업;194.44;31.06%;0.0
지하수시공업체;-10.86;-44.14%;0.0
지하수영향조사기관;-1.78;-37.19%;0.11
지하수정화업체;0.37;-304.32%;0.25
집단급식소;-39.02;-31.47%;0.07
집단급식소식품판매업;-6.62;-7.71%;0.26
집유업;-0.4;-100.0%;0.0
청소년게임제공업;-7.85;-19.1%;0.02
체력단련장업;16.24;10.66%;0.03
체육도장업;-83.32;-55.61%;0.0
축산가공업;-2.89;-7.64%;0.24
축산물보관업;-0.25;-3.08%;0.43
축산물운반업;-3.87;-18.09%;0.23
축산판매업;22.94;8.01%;0.14
출판사;42.82;11.83%;0.05
치과기공소;2.85;18.53%;0.06
통신판매업;423.35;2.38%;0.36
특정고압가스업;-6.44;-18.43%;0.1
한옥체험업;-0.58;-2.58%;0.38
환경관리대행기관;3.97;17.05%;0.0
환경전문공사업;-2.72;-4.61%;0.14
환경측정대행업;27.0;229.84%;0.0
환경컨설팅회사;27.04;418.85%;0.0
후원방문판매업체;-27.25;-10.75%;0.16
휴게음식점;-60.02;-2.79%;0.27
