업종;절대효과;상대효과;p-value
가축분뇨 수집운반업;0.47;-213.69%;0.0
가축분뇨배출시설관리업(사업장);0.38;-290.58%;0.0
가축사육업;16.57;22.34%;0.18
가축인공수정소;0.06;-100.0%;0.34
개인하수처리시설관리업(사업장);0.6;-171.41%;0.05
건설폐기물처리업;0.68;119.19%;0.02
게임물배급업;0.68;119.19%;0.02
게임물제작업;0.68;119.19%;0.02
계량기증명업;0.09;-100.0%;0.25
고압가스업;9.1;54.64%;0.0
골프연습장업;0.68;217.26%;0.0
공연장;0.9;856.39%;0.0
관광공연장업;0.9;856.39%;0.0
관광사업자;0.33;-427.82%;0.0
관광숙박업;4.37;3304.53%;0.0
관광유람선업;0.02;10.28%;0.44
관광펜션업;0.02;10.28%;0.46
국내여행업;0.01;1.67%;0.46
국내외여행업;3.98;-835.81%;0.0
급수공사대행업;3.98;-835.81%;0.0
노래연습장업;2.07;144.62%;0.0
농어촌민박업;1.33;144.48%;0.08
다단계판매업체;1.33;144.48%;0.08
단독정화조/오수처리시설설계시공업;0.73;-151.95%;0.16
담배도매업;0.73;-151.95%;0.18
담배소매업;-65.15;-67.41%;0.0
담배수입판매업체;-0.59;-70.2%;0.37
당구장업;0.38;105.23%;0.29
대규모점포;0.47;1634.31%;0.0
대기오염물질배출시설설치사업장;-2.91;-53.77%;0.01
대중문화예술기획업;2.64;-681.35%;0.0
도축업;0.53;-1917.49%;0.01
동물미용업;0.66;113.1%;0.01
동물병원;0.38;306.66%;0.03
동물생산업;1.31;67.65%;0.0
동물수입업;1.31;67.65%;0.0
동물약국;0.4;-263.56%;0.0
동물용의료용구판매업;0.4;-263.56%;0.0
동물용의약품도매상;-1.21;-100.0%;0.0
동물운송업;0.7;230.39%;0.0
동물위탁관리업;1.22;155.91%;0.0
동물장묘업;1.22;155.91%;0.0
동물전시업;0.41;480.72%;0.0
동물판매업;1.6;245.57%;0.0
무도학원업;-0.26;-34.15%;0.05
물류창고업체;-0.14;-100.0%;0.12
방문판매업;9.83;-161.67%;0.0
병원;2.48;319.37%;0.0
부속의료기관;2.48;319.37%;0.0
부화업;-0.32;-24.14%;0.07
분뇨수집운반업;0.25;-100.0%;0.09
비디오물감상실업;0.25;-100.0%;0.12
비디오물시청제공업;0.25;-100.0%;0.09
빙상장업;0.25;-100.0%;0.11
사료제조업;0.2;15.74%;0.38
산후조리업;-0.22;-22.68%;0.33
석연탄제조업;0.29;-709.49%;0.01
석유판매업;9.56;85.39%;0.0
소독업;5.19;136.39%;0.0
수영장업;0.84;128.75%;0.02
수질오염원설치시설(기타);-2.36;-100.0%;0.0
승강기유지관리업체;-0.74;-100.0%;0.0
승강기제조및수입업체;-0.13;-34.05%;0.19
승마장업;0.12;94.16%;0.36
시내순환관광업;0.12;94.16%;0.38
식육포장처리업;5.84;878.39%;0.0
썰매장업;-1.1;-81.54%;0.0
쓰레기종량제봉투판매업;0.0;-100.0%;0.49
안경업;0.0;-100.0%;0.48
안전상비의약품 판매업소;1.96;359.29%;0.0
액화석유가스용품제조업체;0.9;-605.85%;0.0
약국;1.92;2548.88%;0.0
옥외광고업;6.79;-379.54%;0.14
외국인관광도시민박업;1.04;-2506.08%;0.01
외국인전용유흥음식점업;1.04;-2506.08%;0.01
요양보호사교육기관;-0.02;-8.87%;0.35
용기냉동기특정설비;-0.01;-1.71%;0.47
유원시설업(기타);-0.01;-0.41%;0.49
음반물제작업;-0.01;-0.41%;0.5
응급환자이송업;-0.01;-0.41%;0.49
의료기관세탁물처리업;0.04;-100.0%;0.37
의료기기수리업;0.58;-716.54%;0.0
의료기기판매(임대)업;5.66;307.9%;0.0
의료유사업;1.14;133.67%;0.0
의원;5.0;250.77%;0.0
인쇄사;5.0;250.77%;0.0
인터넷컴퓨터게임시설제공업;-0.35;-14.89%;0.38
일반게임제공업;0.8;-145.11%;0.04
일반야영장업;5.56;189.45%;0.0
일반유원시설업;0.24;13.54%;0.27
자동차야영장업;0.76;-294.93%;0.0
장례지도사 교육기관;0.76;-294.93%;0.0
저수조청소업;0.37;97.57%;0.17
전력기술감리업체;0.37;97.57%;0.15
전력기술설계업체;0.37;97.57%;0.15
전화권유판매업;0.72;2564.33%;0.15
종축업;-0.38;-43.28%;0.07
종합여행업;2.08;176.85%;0.03
종합유원시설업;2.08;176.85%;0.02
종합체육시설업;0.49;96.1%;0.0
집유업;-0.05;-100.0%;0.31
청소년게임제공업;0.65;-428.95%;0.03
체력단련장업;0.96;2174.0%;0.0
체육도장업;-0.21;-29.56%;0.29
축산가공업;3.42;42.35%;0.0
축산물보관업;0.13;100.34%;0.26
축산물운반업;-0.11;-100.0%;0.42
축산판매업;0.18;4.26%;0.44
출판사;0.68;-375.08%;0.0
치과기공소;0.68;-375.08%;0.0
통신판매업;100.56;129.87%;0.0
한옥체험업;100.56;129.87%;0.0
환경관리대행기관;0.44;-230.27%;0.0
환경전문공사업;0.29;-805.0%;0.03
환경측정대행업;0.29;-805.0%;0.04
