가축분뇨 수집운반업,0.2%,7.38%,0.39
가축분뇨배출시설관리업(사업장),0.67%,45.87%,0.05
가축사육업,-88.53%,-23.22%,0.01
가축인공수정소,-0.62%,-4.64%,0.41
개인하수처리시설관리업(사업장),-0.07%,-4.19%,0.45
건강기능식품유통전문판매업,7.68%,10.84%,0.14
건강기능식품일반판매업,1741.79%,111.65%,0.0
건물위생관리업,6.51%,5.85%,0.29
건설폐기물처리업,25.13%,87.04%,0.0
게임물배급업,-3.17%,-20.38%,0.12
게임물제작업,-5.74%,-17.66%,0.1
계량기수리업,0.93%,36.19%,0.04
계량기수입업,-0.36%,-26.35%,0.27
계량기제조업,2.04%,49.99%,0.01
계량기증명업,0.65%,10.62%,0.31
고압가스업,15.53%,18.61%,0.01
골프연습장업,7.84%,43.19%,0.0
골프장,-0.09%,-41.11%,0.34
공연장,-0.96%,-13.55%,0.31
관광공연장업,0.05%,77.56%,0.31
관광궤도업,0.27%,251.09%,0.01
'shape' elements cannot be negative
관광사업자,0.73%,44.4%,0.13
관광숙박업,0.72%,5.78%,0.34
관광식당,0.16%,22.73%,0.34
관광유람선업,-0.25%,-100.0%,0.12
관광펜션업,1.64%,32.18%,0.06
국내여행업,-6.13%,-28.19%,0.02
국내외여행업,32.16%,156.2%,0.0
국제물류주선업,0.84%,6.13%,0.35
국제회의기획업,-1.63%,-16.71%,0.26
국제회의시설업,-0.04%,-100.0%,0.33
급수공사대행업,0.71%,9.48%,0.36
노래연습장업,22.39%,94.85%,0.0
다단계판매업체,-0.29%,-27.6%,0.27
단독정화조/오수처리시설설계시공업,-0.21%,-9.67%,0.37
단란주점영업,15.57%,115.86%,0.0
담배도매업,-0.71%,-27.51%,0.3
담배소매업,153.11%,15.77%,0.02
담배수입판매업체,-0.02%,-1.52%,0.5
당구장업,-8.91%,-18.04%,0.03
대규모점포,-0.06%,-1.42%,0.47
대기오염물질배출시설설치사업장,-20.41%,-7.6%,0.32
대중문화예술기획업,13.06%,29.97%,0.04
도축업,-0.11%,-100.0%,0.18
동물미용업,16.72%,16.32%,0.06
동물병원,-0.0%,-0.0%,0.47
동물생산업,0.72%,3.34%,0.36
동물수입업,0.16%,7.17%,0.38
동물약국,47.06%,39.73%,0.0
동물용의료용구판매업,54.44%,220.58%,0.0
동물용의약품도매상,0.03%,0.99%,0.46
동물운송업,44.14%,219.47%,0.0
동물위탁관리업,16.71%,27.78%,0.0
동물장묘업,0.04%,5.64%,0.48
동물전시업,-1.54%,-18.02%,0.16
동물판매업,10.25%,31.67%,0.0
등록체육시설업,-0.0%,-0.06%,0.49
목욕장업,1.07%,12.75%,0.28
목재수입유통업,1.61%,10.91%,0.26
무도장업,-0.3%,-44.43%,0.24
무도학원업,-0.42%,-21.99%,0.28
무료직업소개소,1.83%,23.16%,0.18
문화예술법인,-1.8%,-17.69%,0.09
물류창고업체,8.51%,52.0%,0.0
미용업,251.48%,20.66%,0.02
민방위급수시설,-10.04%,-52.04%,0.16
민방위대피시설,-1.3%,-5.13%,0.41
박물관 미술관,-1.61%,-53.98%,0.05
방문판매업,53.15%,34.24%,0.01
배출가스전문정비사업자(확인검사대행자),-5.4%,-82.76%,0.05
병원,-0.69%,-4.45%,0.39
