,KB,우리,하나,신한,DGB,BNK,JB,메리츠,한국금융,기업,제주,카카오
2022-01-03,55300.0,12800.0,42350.0,37250.0,9330.0,8390.0,8260.0,45500.0,79800.0,10350.0,6070.0,59100.0
2022-01-04,56400.0,13000.0,42700.0,37600.0,9390.0,8470.0,8370.0,48000.0,79700.0,10400.0,6090.0,57300.0
2022-01-05,56600.0,13050.0,43000.0,37500.0,9480.0,8550.0,8390.0,47000.0,78900.0,10450.0,6260.0,55600.0
2022-01-06,55800.0,12850.0,43200.0,37300.0,9440.0,8480.0,8340.0,46800.0,76800.0,10350.0,6150.0,56000.0
2022-01-07,55700.0,13100.0,43450.0,37650.0,9490.0,8560.0,8340.0,49300.0,78800.0,10350.0,6390.0,55000.0
2022-01-10,57800.0,13950.0,45400.0,38550.0,9730.0,8830.0,8600.0,48250.0,80600.0,10650.0,6670.0,51100.0
2022-01-11,60000.0,14550.0,46700.0,39000.0,9680.0,8800.0,8710.0,49350.0,78600.0,10750.0,6580.0,49350.0
2022-01-12,61900.0,14900.0,46550.0,39750.0,9700.0,8800.0,8760.0,51400.0,82300.0,10800.0,6630.0,49300.0
2022-01-13,62300.0,15000.0,46900.0,39450.0,9670.0,8920.0,8780.0,53700.0,81600.0,10750.0,6580.0,48850.0
2022-01-14,62200.0,15000.0,46200.0,39300.0,9770.0,8870.0,8680.0,51900.0,79600.0,10800.0,6500.0,46300.0
2022-01-17,61200.0,14800.0,45100.0,38850.0,9640.0,8580.0,8530.0,54500.0,78600.0,10650.0,6830.0,45100.0
2022-01-18,61700.0,14900.0,45450.0,38900.0,9590.0,8590.0,8450.0,51800.0,77700.0,10650.0,6820.0,43300.0
2022-01-19,61900.0,15050.0,46950.0,39500.0,9680.0,8640.0,8470.0,51100.0,77500.0,10650.0,6690.0,41800.0
2022-01-20,59500.0,14800.0,45350.0,38800.0,9510.0,8430.0,8390.0,51200.0,77800.0,10450.0,6690.0,42750.0
2022-01-21,60300.0,14850.0,45550.0,39250.0,9600.0,8500.0,8440.0,50900.0,76500.0,10500.0,6440.0,43800.0
2022-01-24,58800.0,14500.0,44350.0,38350.0,9450.0,8300.0,8290.0,50000.0,75800.0,10300.0,6120.0,42000.0
2022-01-25,57100.0,14000.0,43100.0,37700.0,9100.0,7970.0,8100.0,48500.0,74300.0,10150.0,6110.0,40250.0
2022-01-26,59100.0,14350.0,44400.0,38300.0,9230.0,8020.0,8120.0,46950.0,72900.0,10300.0,6150.0,40550.0
2022-01-27,58000.0,14300.0,44100.0,38100.0,9160.0,7930.0,8040.0,44750.0,70600.0,10200.0,6190.0,39650.0
2022-01-28,59500.0,14650.0,45000.0,38150.0,9230.0,8040.0,8130.0,43500.0,72500.0,10350.0,6260.0,41000.0
2022-01-31,59400.0,14650.0,44850.0,38600.0,9270.0,8070.0,8200.0,45750.0,75400.0,10350.0,6370.0,41350.0
2022-02-01,59400.0,14650.0,44850.0,38600.0,9270.0,8070.0,8200.0,45750.0,75400.0,10350.0,6370.0,41350.0
2022-02-02,59400.0,14650.0,44850.0,38600.0,9270.0,8070.0,8200.0,45750.0,75400.0,10350.0,6370.0,41350.0
2022-02-03,59400.0,14650.0,44850.0,38600.0,9270.0,8070.0,8200.0,45750.0,75400.0,10350.0,6370.0,41350.0
2022-02-04,60900.0,15350.0,46000.0,39450.0,9550.0,8280.0,8400.0,45300.0,76800.0,10700.0,6570.0,42100.0
2022-02-07,61200.0,15100.0,46250.0,39700.0,9630.0,8350.0,8450.0,44800.0,77000.0,10650.0,6790.0,42350.0
