Date,KB,우리,하나,신한,DGB,BNK,JB,메리츠,한국금융,기업,제주,카카오
2022-01-03,55300,12800,42350,37250,9330,8390,8260,45500,79800,10350,6070,59100
2022-01-04,56400,13000,42700,37600,9390,8470,8370,48000,79700,10400,6090,57300
2022-01-05,56600,13050,43000,37500,9480,8550,8390,47000,78900,10450,6260,55600
2022-01-06,55800,12850,43200,37300,9440,8480,8340,46800,76800,10350,6150,56000
2022-01-07,55700,13100,43450,37650,9490,8560,8340,49300,78800,10350,6390,55000
2022-01-10,57800,13950,45400,38550,9730,8830,8600,48250,80600,10650,6670,51100
2022-01-11,60000,14550,46700,39000,9680,8800,8710,49350,78600,10750,6580,49350
2022-01-12,61900,14900,46550,39750,9700,8800,8760,51400,82300,10800,6630,49300
2022-01-13,62300,15000,46900,39450,9670,8920,8780,53700,81600,10750,6580,48850
2022-01-14,62200,15000,46200,39300,9770,8870,8680,51900,79600,10800,6500,46300
2022-01-17,61200,14800,45100,38850,9640,8580,8530,54500,78600,10650,6830,45100
2022-01-18,61700,14900,45450,38900,9590,8590,8450,51800,77700,10650,6820,43300
2022-01-19,61900,15050,46950,39500,9680,8640,8470,51100,77500,10650,6690,41800
2022-01-20,59500,14800,45350,38800,9510,8430,8390,51200,77800,10450,6690,42750
2022-01-21,60300,14850,45550,39250,9600,8500,8440,50900,76500,10500,6440,43800
2022-01-24,58800,14500,44350,38350,9450,8300,8290,50000,75800,10300,6120,42000
2022-01-25,57100,14000,43100,37700,9100,7970,8100,48500,74300,10150,6110,40250
2022-01-26,59100,14350,44400,38300,9230,8020,8120,46950,72900,10300,6150,40550
2022-01-27,58000,14300,44100,38100,9160,7930,8040,44750,70600,10200,6190,39650
2022-01-28,59500,14650,45000,38150,9230,8040,8130,43500,72500,10350,6260,41000
2022-02-03,59400,14650,44850,38600,9270,8070,8200,45750,75400,10350,6370,41350
2022-02-04,60900,15350,46000,39450,9550,8280,8400,45300,76800,10700,6570,42100
2022-02-07,61200,15100,46250,39700,9630,8350,8450,44800,77000,10650,6790,42350
2022-02-08,60700,15200,46150,39650,9650,8330,8360,44300,77700,10550,6640,44650
2022-02-09,63800,15850,48000,40600,9850,8610,8570,44550,80000,11000,6890,44200
2022-02-10,65500,15550,48600,40500,9780,8540,8500,41550,79600,11050,6720,42800
2022-02-11,65800,15150,51200,41100,9980,8500,8490,42150,79800,11150,6860,42150
2022-02-14,64600,14700,50000,40400,9760,8340,8480,42000,78600,11050,6420,43950
2022-02-15,64500,14500,49700,40450,9510,8190,8360,39900,77800,10950,6240,44200
2022-02-16,64600,14650,50600,41100,9700,8300,8420,39100,78300,11050,6460,46450
2022-02-17,65100,14900,52400,41250,9680,8350,8450,38450,79500,11150,6390,49400
2022-02-18,63700,14850,52100,41250,9630,8280,8380,38400,79700,11150,6400,49350
2022-02-21,63300,14500,51400,41250,9580,8140,8300,38150,79300,11150,6310,48900
2022-02-22,62600,14600,51200,40650,9350,7970,8210,40150,77800,10900,6160,47250
2022-02-23,62200,14400,50800,40700,9340,7980,8230,39650,80200,10900,6290,47100
2022-02-24,61000,14250,49550,39800,9230,7790,8140,38500,78200,10600,6050,46900
2022-02-25,58900,14200,48800,38950,9190,7780,8140,39450,78300,10450,6080,47750
2022-02-28,59700,14300,48700,39050,9480,7880,8220,36850,79200,10750,6050,48000
2022-03-02,57300,13700,46450,38200,9070,7600,8070,35950,78800,10500,6080,47900
2022-03-03,58400,14150,47250,38550,9100,7700,8210,35050,80000,10700,6110,48600
2022-03-04,57500,13950,46750,38200,9100,7700,8140,33950,79100,10550,6050,48700
2022-03-07,55000,13450,45300,37200,8930,7470,8070,32800,76200,10350,5950,47350
