,KB,우리,하나,신한
2021-01-04,42450.0,9510.0,33450.0,31550.0
2021-01-05,43550.0,9610.0,34050.0,32100.0
2021-01-06,44000.0,9580.0,34750.0,32400.0
2021-01-07,46000.0,9840.0,36800.0,33750.0
2021-01-08,46500.0,9910.0,37700.0,33650.0
2021-01-11,45900.0,9720.0,37700.0,32900.0
2021-01-12,46200.0,9720.0,39150.0,33100.0
2021-01-13,47300.0,10050.0,40200.0,34200.0
2021-01-14,46550.0,10100.0,39250.0,34050.0
2021-01-15,45200.0,9920.0,38150.0,33350.0
2021-01-18,45250.0,9750.0,38150.0,32600.0
2021-01-19,45200.0,9900.0,38250.0,33050.0
2021-01-20,45150.0,9740.0,37250.0,33100.0
2021-01-21,44750.0,9640.0,37150.0,33350.0
2021-01-22,44050.0,9520.0,36350.0,32850.0
2021-01-25,44100.0,9520.0,36250.0,32950.0
2021-01-26,43000.0,9310.0,35300.0,32350.0
2021-01-27,42400.0,9330.0,35200.0,32350.0
2021-01-28,41100.0,9100.0,34500.0,32200.0
2021-01-29,40300.0,8800.0,32650.0,30650.0
2021-02-01,42100.0,8990.0,35150.0,31450.0
2021-02-02,41850.0,9020.0,34850.0,31950.0
2021-02-03,41950.0,9100.0,34800.0,31900.0
2021-02-04,42050.0,9010.0,33950.0,31350.0
2021-02-05,44350.0,9330.0,36150.0,31800.0
2021-02-08,45050.0,9410.0,37250.0,32900.0
2021-02-09,44750.0,9410.0,36300.0,32600.0
2021-02-10,45500.0,9580.0,36750.0,32950.0
2021-02-11,45500.0,9580.0,36750.0,32950.0
2021-02-12,45500.0,9580.0,36750.0,32950.0
2021-02-15,45300.0,9650.0,36900.0,32800.0
2021-02-16,45050.0,9620.0,37050.0,32850.0
2021-02-17,44800.0,9580.0,37950.0,32900.0
2021-02-18,43700.0,9450.0,36400.0,32250.0
2021-02-19,43550.0,9590.0,37000.0,32650.0
2021-02-22,43100.0,9590.0,36350.0,32500.0
