Date,Close_1,Close_2,Close_3,Close_4
2021-01-04,42450,9510,33450,31550
2021-01-05,43550,9610,34050,32100
2021-01-06,44000,9580,34750,32400
2021-01-07,46000,9840,36800,33750
2021-01-08,46500,9910,37700,33650
2021-01-11,45900,9720,37700,32900
2021-01-12,46200,9720,39150,33100
2021-01-13,47300,10050,40200,34200
2021-01-14,46550,10100,39250,34050
2021-01-15,45200,9920,38150,33350
2021-01-18,45250,9750,38150,32600
2021-01-19,45200,9900,38250,33050
2021-01-20,45150,9740,37250,33100
2021-01-21,44750,9640,37150,33350
2021-01-22,44050,9520,36350,32850
2021-01-25,44100,9520,36250,32950
2021-01-26,43000,9310,35300,32350
2021-01-27,42400,9330,35200,32350
2021-01-28,41100,9100,34500,32200
2021-01-29,40300,8800,32650,30650
2021-02-01,42100,8990,35150,31450
2021-02-02,41850,9020,34850,31950
2021-02-03,41950,9100,34800,31900
2021-02-04,42050,9010,33950,31350
2021-02-05,44350,9330,36150,31800
2021-02-08,45050,9410,37250,32900
2021-02-09,44750,9410,36300,32600
2021-02-10,45500,9580,36750,32950
2021-02-15,45300,9650,36900,32800
2021-02-16,45050,9620,37050,32850
2021-02-17,44800,9580,37950,32900
2021-02-18,43700,9450,36400,32250
2021-02-19,43550,9590,37000,32650
2021-02-22,43100,9590,36350,32500
2021-02-23,43700,9600,36600,32800
2021-02-24,43150,9660,36950,33150
2021-02-25,44750,9820,37850,34100
2021-02-26,43800,9580,37050,32950
2021-03-02,44500,9730,37900,33250
2021-03-03,45500,9770,38750,33650
2021-03-04,45800,9700,38700,34050
2021-03-05,47000,9610,38550,34000
2021-03-08,49950,9910,39950,35250
2021-03-09,52600,10100,40850,35900
2021-03-10,51600,10050,40700,35600
2021-03-11,52000,10050,40950,35400
2021-03-12,50400,10150,41600,34950
2021-03-15,51200,10100,41500,35150
2021-03-16,51200,10100,42050,35200
2021-03-17,50700,10000,41400,35500
2021-03-18,50300,10050,41550,35500
2021-03-19,49650,10150,42550,35450
2021-03-22,51400,10100,41800,35600
2021-03-23,51400,10050,41050,35900
2021-03-24,51000,9940,40950,35100
2021-03-25,52600,9980,40750,35850
2021-03-26,53200,10000,40750,36550
2021-03-29,53700,10100,41300,36900
2021-03-30,54900,10100,41350,37100
2021-03-31,56200,10100,42800,37450
2021-04-01,55000,10050,41350,36800
2021-04-02,53900,10000,41150,36350
2021-04-05,54600,10050,41750,37000
2021-04-06,53000,10100,41100,37150
2021-04-07,53600,10650,42300,37700
2021-04-08,52800,10600,41650,37400
2021-04-09,52600,10300,41250,37150
2021-04-12,53400,10400,41600,37400
2021-04-13,53500,10350,41250,37250
2021-04-14,53200,10400,41150,37100
2021-04-15,54000,10400,41650,37450
2021-04-16,52700,10250,41000,36900
2021-04-19,52300,10250,40950,36800
2021-04-20,53100,10400,42300,37500
2021-04-21,52400,10150,41550,36750
2021-04-22,53500,10500,42000,37200
2021-04-23,54300,10500,42900,37450
2021-04-26,55000,10600,43000,38250
2021-04-27,55000,10650,43900,39000
2021-04-28,55000,10800,44400,39550
2021-04-29,53900,10750,44800,39500
2021-04-30,54700,10700,45650,40000
2021-05-03,53700,10550,43950,39050
2021-05-04,53300,10500,43750,39250
2021-05-06,57500,10950,46350,41000
2021-05-07,58300,11000,46300,41500
2021-05-10,59500,11300,46800,42750
2021-05-11,59700,11300,46800,42600
2021-05-12,58400,11050,45700,40850
2021-05-13,58800,11050,46850,41500
2021-05-14,57600,11100,45900,41200
2021-05-17,57900,11100,46400,41050
2021-05-18,58800,11300,47200,41300
2021-05-20,58000,11150,46100,41000
2021-05-21,56300,10900,44700,40300
2021-05-24,56900,11050,45300,41000
2021-05-25,58100,11050,45750,41900
2021-05-26,57200,11000,45300,41750
2021-05-27,55400,10900,44400,41500
2021-05-28,57000,11050,45550,42250
2021-05-31,58800,11150,46550,42450
2021-06-01,58800,11200,46450,43000
2021-06-02,58900,11250,47100,42850
2021-06-03,58300,11350,47350,42600
2021-06-04,57600,11600,46900,42450
2021-06-07,58000,11650,47100,42900
2021-06-08,57900,11650,46900,42750
2021-06-09,56900,11550,46050,42150
2021-06-10,57200,11400,46000,42450
2021-06-11,57000,11400,45850,42300
2021-06-14,56200,11300,44900,41150
2021-06-15,55900,11450,44750,41200
2021-06-16,56900,11900,46000,42000
2021-06-17,56900,11800,46000,41650
2021-06-18,56800,11600,45300,41100
2021-06-21,55100,11300,44500,39800
2021-06-22,55800,11450,45500,40750
2021-06-23,55500,11350,45000,40300
2021-06-24,56100,11650,45850,40750
2021-06-25,57300,11850,47350,41650
2021-06-28,57200,11950,47550,41800
2021-06-29,56100,11600,46500,40900
2021-06-30,55800,11450,46050,40600
2021-07-01,54700,11450,45300,40100
2021-07-02,54500,11550,45350,40250
2021-07-05,54000,11600,44950,39800
2021-07-06,53800,11600,44950,39900
2021-07-07,52800,11450,44000,39200
2021-07-08,52300,11450,43650,38950
2021-07-09,50400,11150,42500,38200
2021-07-12,51500,11250,43150,39150
2021-07-13,52200,11400,43700,39450
2021-07-14,51500,11350,43100,38600
2021-07-15,51800,11350,43800,38700
2021-07-16,52500,11350,43800,38750
2021-07-19,51100,11300,42800,38200
2021-07-20,50800,11250,42050,37550
2021-07-21,50600,11250,42200,37550
2021-07-22,51800,11650,43900,38450
2021-07-23,52200,11200,44100,38350
2021-07-26,51800,11000,43800,37950
2021-07-27,52100,11100,44150,38400
2021-07-28,52500,11100,44750,39700
2021-07-29,52600,11050,44700,40050
2021-07-30,51300,10850,43450,39150
2021-08-02,50900,10850,42800,38600
2021-08-03,51600,10950,43100,38750
2021-08-04,52700,11200,44000,39050
2021-08-05,52000,11050,43350,38700
2021-08-06,52200,11050,43250,38750
2021-08-09,53000,11100,44300,39100
2021-08-10,52300,11100,44250,38900
2021-08-11,53600,11250,45000,39200
2021-08-12,53400,11200,45300,39350
2021-08-13,53200,11100,44650,38900
