시점,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2020.01,3946,-65,34,692,-541,-72,-106,-222,-157,-187,-561,-250,-546,961,-71,-285,-295,4,243,165,-402,-174,146,718,259,4658
2020.02,3305,116,65,306,-647,-229,2,-434,32,-354,-625,-782,-403,1000,331,-529,-1241,-560,-213,2106,-449,-273,257,470,-667,6026
2020.03,-3404,-53,-81,-81,-809,-631,113,-655,26,-223,-777,-792,-932,1309,197,-982,-1184,-423,-227,1767,-219,-222,-789,-1626,-1819,5709
2020.04,-7117,-249,-40,-210,-832,-394,-369,-491,-299,-223,-511,-708,2,177,-177,769,-1118,-616,-179,265,-46,-370,-917,-1566,-1374,2359
2020.05,-2709,-315,-2,15,-482,-237,30,-121,-12,-355,-501,-657,69,61,370,1062,-806,-271,28,258,168,480,-446,-1375,-915,1245
2020.06,-3932,-245,-48,17,-497,-210,-167,-547,-293,-418,-527,-729,1538,-129,-440,-237,-674,3,-157,772,-65,354,-496,-765,-740,768
2020.07,-5919,-168,-130,-13,-565,-362,-423,-91,-605,-574,-658,-875,1698,-432,-345,-394,-741,54,-316,674,-312,-22,-753,-634,-32,100
2020.08,-8044,-183,-8,-90,-750,-624,-519,1496,-818,-589,-771,-1236,537,367,-471,-610,-1499,155,32,889,-817,-472,-1049,-510,-420,-84
2020.09,-10044,-20,-197,396,-657,-616,-265,232,-659,-478,-736,-1226,-186,550,-131,-770,-1453,-53,77,325,-621,-773,-1312,-959,-1123,611
2020.10,-10312,-217,-151,227,-742,-446,-574,-357,-783,-631,-560,-907,-336,-388,-616,-583,-952,-250,-47,1141,-896,-1449,-528,863,-1531,401
2020.11,-9486,-128,-145,124,-654,-350,-412,-353,-884,-584,-505,-749,-486,-441,-602,-587,-708,-354,-189,1267,-787,-1036,-165,-297,-531,70
2020.12,-11134,-95,-253,-86,-767,-606,-537,-455,-826,-415,-725,-620,-756,-110,-497,-794,-1704,-828,-262,1154,-708,-968,-367,-576,-636,1303
2021.01,-10440,-229,-173,-2,-511,-625,-762,-161,561,-483,-885,-1124,-573,-433,-376,-877,-1008,-952,-101,593,-818,-826,-474,-706,-817,1322
2021.02,-9415,-202,-198,121,-589,-820,-233,-540,300,-798,-795,-1407,-887,-577,-304,904,-142,-903,-334,130,-715,-775,-940,-685,-1816,2790
2021.03,-6216,-53,-178,580,-385,-395,96,-523,-188,-484,-565,-677,-630,-160,-187,-240,246,-246,-52,-14,389,-277,-1025,-1277,-2090,2119
2021.04,-9738,-161,-57,-262,-415,-408,-364,-531,-438,-386,-428,-740,-632,-603,1015,-583,186,-622,-205,28,-84,-792,-1044,-1251,-1310,349
2021.05,-8309,-192,-110,-264,-449,-218,-249,-504,-395,-404,-361,-664,303,-440,359,-578,-165,-532,207,-220,-280,-267,-1001,-1078,-840,33
2021.06,-8288,-298,-76,-346,-568,-333,-190,-489,-307,-448,-255,-518,253,-303,162,-576,-28,-755,327,-247,-286,-326,-788,-606,-951,-336
2021.07,-8429,-320,-67,-427,-500,-397,-69,-550,-311,-477,-419,-828,-354,-249,27,-572,-520,-576,492,-95,-68,-244,-198,-915,-684,-108
2021.08,-8117,-134,-84,-1000,-538,-629,-70,-465,-511,-582,-621,-1114,-569,-341,-115,-849,-746,-922,110,170,-284,-149,-835,2239,809,-887
2021.09,-8119,-10,-10,-832,-453,-396,3,-323,-203,-454,-431,-944,-343,-226,-169,-580,-511,-436,-123,-173,-437,-240,-1356,524,312,-308
2021.10,-9389,-136,-74,-429,-626,-287,-288,-310,-511,-528,-362,-820,-475,-408,-261,-370,-478,-211,128,-70,-841,-645,-1245,511,-185,-468
2021.11,-10554,-205,-72,-256,-584,-431,-131,-515,-691,-379,-271,-762,206,-313,-439,-528,-571,-287,145,-484,-165,-859,-1723,-303,-431,-505
2021.12,-9229,-284,-110,-444,-626,-289,181,-179,-646,-481,-394,-139,19,-524,-293,-641,-362,-268,22,-161,-465,-555,-1084,-477,-467,-562
2022.01,-2408,-85,-151,-328,-465,33,98,325,-359,-329,-140,-49,-149,381,-260,-356,-246,-223,96,43,31,-7,-731,198,487,-222
2022.02,3265,85,-139,-132,-387,527,519,1078,1847,-554,-429,-242,-422,752,-34,-383,-480,-242,-2,-126,21,678,-881,157,2567,-513
2022.03,-275,-245,39,-200,-70,271,202,524,1356,-562,-423,101,-243,133,-192,-229,-438,-147,268,-129,572,234,-858,-716,1142,-665
2022.04,-4166,-222,-42,-115,-461,-264,-310,14,272,-284,-419,-648,1020,-46,-643,-407,-275,-441,123,-265,17,165,-841,-496,402,0
2022.05,-3082,-126,-22,115,-431,-319,-86,-132,210,-99,-274,-743,605,-70,-164,-697,318,-427,273,-215,-188,382,-797,-303,-60,168
2022.06,-1810,-216,27,164,-363,-154,-84,-184,52,11,-296,-733,24,32,96,-352,60,-280,140,78,173,360,-514,37,-84,196
2022.07,-1576,-71,45,22,-228,-42,-110,-181,39,-51,-74,-467,-129,121,-126,-345,-279,-132,-23,191,-156,295,-335,364,9,87
2022.08,-884,43,-56,19,-56,-155,288,-349,192,-70,-326,-373,-425,771,-236,-350,-344,-474,-57,587,-284,569,-327,506,-283,306
2022.09,-4149,-134,-51,-160,-381,-379,932,-316,-275,-265,-374,-119,-682,189,-200,-427,-566,-281,-208,193,-440,590,60,-252,-451,-152
2022.10,-6436,-50,-206,-185,-511,-300,197,-400,-223,-349,-266,-435,-1044,-9,-595,-397,-379,1069,-326,-403,-885,480,-240,-180,-540,-259
2022.11,-6405,-173,-91,-178,-317,-170,26,-303,-486,-342,-274,-365,-1095,471,-352,-191,-574,597,-252,-116,-1008,-73,-221,-253,-479,-186
2022.12,-7414,-239,-80,-301,-345,-258,-506,-236,-586,-227,-272,-802,-983,849,258,-619,-241,492,-249,-130,-1101,-221,-381,-565,-584,-87
2023.01,-3023,-148,-96,-258,-304,-153,-185,-186,-426,-237,-374,-806,-452,990,346,-202,-296,123,-154,416,-584,183,221,-191,-251,1
2023.02,3467,236,273,-234,-234,-162,958,102,296,-75,-333,88,-512,953,510,-516,-152,-32,-82,196,-337,602,516,1040,212,154
2023.03,-878,-332,414,-393,-285,-263,356,-101,-46,-274,-275,-273,-672,274,100,-795,-371,-243,-81,145,570,450,-303,2826,-965,-341
2023.04,-3365,-153,281,-166,-262,-250,165,-98,-305,-272,-417,-681,-577,-63,-259,-362,-412,-90,27,-225,167,-85,-331,1829,-417,-409
2023.05,-3353,-238,107,-165,-213,39,38,-186,-60,-307,-308,-519,-555,-104,0,-154,-611,-146,-48,-148,174,-80,-167,1039,-483,-258
2023.06,-4233,-152,103,-138,-378,-406,458,-349,-450,-485,-526,-1024,-240,-40,-168,-271,-393,-158,-15,-222,17,-208,6,1311,-166,-339
2023.07,-2692,-155,29,-253,-266,4,582,-556,-590,-262,-468,18,463,-240,-153,-230,-545,-112,-134,-212,-68,-498,214,1647,-548,-359
2023.08,-1020,-159,63,-469,-427,352,1792,-560,-342,-335,-394,-135,2362,-175,-396,-441,-1141,-385,-194,-467,-90,-559,-136,1840,-441,-183
2023.09,-1370,-63,-74,-435,-370,184,967,-233,-402,-314,-169,119,1192,-209,-315,-233,-866,-456,-224,9,-296,-742,1820,192,-429,-23
2023.10,-4727,-240,-65,-617,-352,-217,392,-295,-662,-520,-161,-347,389,-407,-240,-114,-631,-390,-238,-245,-408,-1062,1438,632,-359,-8
2023.11,-6239,-38,84,-902,-256,-418,122,-251,-473,-467,-252,-360,-10,-248,-48,-631,10,-414,-462,-155,-293,-1044,366,-336,-416,653
2023.12,-3817,-21,107,-1201,-338,-258,-275,367,-612,-502,-20,-671,-117,-286,-148,-400,-490,-532,-196,-123,-407,-662,-465,3756,-655,332
2024.01,-765,21,36,-962,-263,-201,-75,203,-612,-482,-97,-888,-189,-329,-33,-412,-460,-142,8,149,-380,11,81,4203,-166,214
2024.02,3134,148,142,-921,-163,-90,669,82,6,-330,-101,-36,-354,106,-24,-217,-498,-638,-139,-34,-56,50,191,4366,-100,1075
2024.03,-1237,63,177,-1364,42,-95,423,-272,98,-524,-112,49,-24,99,34,-686,-630,-284,-60,139,377,215,-185,693,-223,813
2024.04,-5842,-30,37,-1869,-160,-289,57,-234,-156,-394,-173,-577,-258,55,-205,-525,-676,-465,-164,-81,185,-168,-309,324,-324,557
2024.05,-5883,-60,-69,-1473,-134,-353,-254,-143,-263,-212,-321,-537,-260,-281,-303,-382,-571,-443,-106,-38,-314,-231,-267,1232,-388,288
2024.06,-5558,-135,-51,-407,-207,-239,-321,-320,-97,-376,-181,-627,-493,-324,-130,-259,-801,-394,-162,-145,-246,-252,42,571,-411,407
2024.07,-5440,-73,-44,-430,-440,-248,-197,-168,-313,-363,-243,-666,-636,-270,-30,-278,-701,-349,-124,-116,-362,-427,165,504,-517,886
2024.08,-3848,-135,39,-216,-416,-180,-133,-224,-39,-244,-349,-501,-610,-216,-126,-174,-651,-314,-222,-287,-497,-316,195,1100,-617,1285
2024.09,-4300,-41,-79,-236,-403,-306,-192,-195,-276,215,-299,-295,-674,-249,-272,-153,-289,-142,-262,-106,-262,-383,178,122,85,214
