,pmid,doi,journal,country,title,authors,abstract,citation_count,published_at
155763,34494017,10.21203/rs.3.rs-862572/v1,Research square,United States,Calibration of Two Validated SARS-CoV-2 Pseudovirus Neutralization Assays for COVID-19 Vaccine Evaluation.,"Yunda Huang, Oleg Borisov, Jia Jin Kee, Lindsay Carpp, Terri Wrin, Suqin Cai, Marcella Sarzotti-Kelsoe, Charlene McDanal, Amanda Eaton, Rolando Pajon, John Hural, Christine Posavad, Katherine Gill, Shelly Karuna, Lawrence Corey, M Juliana McElrath, Peter Gilbert, Christos Petropoulos, David Montefiori","<Abstract><AbstractText>Vaccine-induced neutralizing antibodies (nAbs) are key biomarkers considered to be associated with vaccine efficacy. In United States Government-sponsored phase 3 efficacy trials of COVID-19 vaccines, nAbs are measured by two different validated pseudovirus-based SARS-CoV-2 neutralization assays, with each trial using one of the two assays. Here we describe and compare the nAb titers obtained in the two assays. We observe that one assay consistently yielded higher nAb titers than the other when both assays were performed on the World Health Organizationâ€™s anti-SARS-CoV-2 immunoglobulin International Standard, COVID-19 convalescent sera, and mRNA-1273 vaccinee sera. To overcome the challenge this difference in readout poses in comparing/combining data from the two assays, we evaluate three calibration approaches and show that readouts from the two assays can be calibrated to a common scale. These results may aid decision-making based on data from these assays for the evaluation and licensure of new or adapted COVID-19 vaccines.</AbstractText></Abstract>",0,2021-09-26 00:00:00
19979,33772169,10.1038/s41415-021-2860-z,British dental journal,England,Phone call success.,"M Loh, R Smith, M Forde, D Mills","<?xml version=""1.0""?>
<p/>
",0,2021-04-26 00:00:00
29771,33613398,10.3389/fpsyg.2021.621633,Frontiers in psychology,Switzerland,"Self-Perceived Mental Health Status, Digital Activity, and Physical Distancing in the Context of Lockdown Versus Not-in-Lockdown Measures in Italy and Croatia: Cross-Sectional Study in the Early Ascending Phase of the COVID-19 Pandemic in March 2020.","Vanja Kopilaš, Anni M Hasratian, Lucia Martinelli, Goran Ivkić, Lovorka Brajković, Srećko Gajović","<Abstract>
                <AbstractText>The novelty of the coronavirus disease 2019 (COVID-19) pandemic is that it is occurring in a globalized society enhanced by digital capabilities. Our aim was to analyze the psychological and emotional states of participants in different pandemic-related contexts, with a focus on their digital and physical distancing behaviors. The online survey was applied during the ascending phase of the pandemic in March 2020 in two neighboring EU countries: Italy and Croatia. The study subjects involved four groups, two directly affected by epidemiological measures and two serving as controls-(1) participants from Italy who were in lockdown (Italy group), (2) participants from Croatia who were not in lockdown but who were in direct contact with an infected person and underwent epidemiological measures (CRO-contact group), (3) participants from Croatia who were in an analogous situation but not near the same infected person (CRO-no contact group), and (4) participants from Croatia who were not aware of any infected person (CRO-unrelated group). The survey consisted of validated scales of psychological and emotional states, and custom-made questionnaires on the digital (online) and physical (off-line) behavior of the participants. The Italy group in lockdown had higher self-perceived scores for depression, stress, post-traumatic intrusion, and avoidance, as well as the highest digital activity and physical distancing than the not-in-lockdown Croatian groups. The insight into the extent of online activities and off-line isolation allowed for the introduction of Digital Activity and Physical Distancing Scores. Self-perceived post-traumatic avoidance was higher in both the Italy and CRO-contact groups than the control CRO-no contact and CRO-unrelated groups, and higher avoidance correlated with higher Digital Activity and Physical Distancing Scores. Being in direct contact with the infected person, the CRO-contact group had no other alterations than unexpectedly lower post-traumatic hyperarousal when compared with the Italy group. The Italy group in lockdown demonstrated higher self-perceived psychological toll together with higher digital activity and physical distancing than Croatian groups not in lockdown, even when compared with the affected CRO-contact group. The study outcomes suggest that the general emergency measures influenced citizens in lockdown more than exposure to the virus through direct contact with an infected person.</AbstractText>
                <CopyrightInformation>Copyright © 2021 Kopilaš, Hasratian, Martinelli, Ivkić, Brajković and Gajović.</CopyrightInformation>
            </Abstract>",1,2021-02-23 00:00:00
65366,33178449,10.1136/bmjsem-2020-000943,BMJ open sport & exercise medicine,England,Could Virtual Reality play a role in the rehabilitation after COVID-19 infection?,"Merlijn Smits, J Bart Staal, Harry van Goor","<Abstract>
                <AbstractText>Post-COVID-19 patients, particularly those who needed high care, are expected to have high needs for physical, psychological and cognitive rehabilitation. Yet, the resources needed to provide rehabilitation treatment are expected to be inadequate because healthcare systems faced a shortage of high-quality treatment of these symptoms already before the COVID-19 crisis emerged in patients with comparable needs. In this viewpoint, we discuss the potential of Virtual Reality (VR) administering fast, tailor-made rehabilitation at a distance, and offering a solution for the impending surge of demand for rehabilitation after COVID-19. VR consists of a head-mounted display (HMD) that can bring the user by computer-generated visuals into an immersive, realistic multi-sensory environment. Several studies on VR show its potential for rehabilitation and suggest VR to be beneficial in post-COVID-19. The immersion of VR may increase therapy adherence and may distract the patient from experienced fatigue and anxiety. Barriers still have to be overcome to easily implement VR in healthcare. We argue that embedding VR in virtual care platforms would assist in overcoming these barriers and would stimulate the spread of VR therapy, both for post-COVID-19 patients in the present and possibly for other patients with similar rehabilitation needs in the future.</AbstractText>
                <CopyrightInformation>© Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.</CopyrightInformation>
            </Abstract>",3,2020-11-13 00:00:00
5998,33865136,10.1016/j.scitotenv.2021.146967,The Science of the total environment,Netherlands,Detection of SARS-CoV-2 RNA in the Danube River in Serbia associated with the discharge of untreated wastewaters.,"Stoimir Kolarević, Adrienn Micsinai, Réka Szántó-Egész, Alena Lukács, Margareta Kračun-Kolarević, Lian Lundy, Alexander K T Kirschner, Andreas H Farnleitner, Aleksandar Djukic, Jasna Čolić, Tanja Nenin, Karolina Sunjog, Momir Paunović","<Abstract>
                <AbstractText>In Serbia less than 13% of collected municipal wastewaters is being treated before their release in the environment. This includes all municipal wastewater discharges from Belgrade (capital city of Serbia; population 1,700,000). Previous research has identified the impacts of raw wastewater discharges from Belgrade on the Danube River, and this study investigated if such discharges also provided a pathway for SARS-CoV-2 RNA material. Samples were collected during the most critical circumstances that occurred so far within the COVID-19 pandemics in Serbia. Grab and composite samples were collected in December 2020, during the peak of the third wave (in terms of reported cases) at the site which receives the wastewater loads in Belgrade. Grab samples collected upstream and downstream of Belgrade were also analyzed. RNA was quantified using RT-qPCR with primer sets targeting nucleocapsid (N1 and N2) and envelope (E) protein genes. SARS-CoV-2 RNA (5.97 × 10<sup>3</sup> to 1.32 × 10<sup>4</sup> copies/L) was detected only in samples collected at the site strongly impacted by the wastewaters where all three applied primer sets gave positive signals. Determined concentrations correspond to those reported in wastewater influents sampled at treatment plants in other countries indicating an epidemiological indicator function of used approach for rivers with high pollution loads in countries with poor wastewater treatment.</AbstractText>
                <CopyrightInformation>Copyright © 2021 The Authors. Published by Elsevier B.V. All rights reserved.</CopyrightInformation>
            </Abstract>",4,2021-04-21 00:00:00
136693,34075365,10.1016/j.xcrm.2021.100321,Cell reports. Medicine,United States,"Broad auto-reactive IgM responses are common in critically ill patients, including those with COVID-19.","Andrew Kam Ho Wong, Isaac Woodhouse, Frank Schneider, Deanna A Kulpa, Guido Silvestri, Cheryl L Maier","<Abstract><AbstractText>The pathogenesis of severe coronavirus disease 2019 (COVID-19) remains poorly understood. While several studies suggest that immune dysregulation plays a central role, the key mediators of this process are yet to be defined. Here, we demonstrate that plasma from a high proportion (93%) of critically ill COVID-19 patients, but not healthy controls, contains broadly auto-reactive immunoglobulin M (IgM) and less frequently auto-reactive IgG or IgA. Importantly, these auto-IgMs preferentially recognize primary human lung cells <i>in vitro</i>, including pulmonary endothelial and epithelial cells. By using a combination of flow cytometry, analytical proteome microarray technology, and lactose dehydrogenase (LDH)-release cytotoxicity assays, we identify high-affinity, complement-fixing, auto-reactive IgM directed against 260 candidate autoantigens, including numerous molecules preferentially expressed on the cellular membranes of pulmonary, vascular, gastrointestinal, and renal tissues. These findings suggest that broad IgM-mediated autoimmune reactivity may be involved in the pathogenesis of severe COVID-19, thereby identifying a potential target for therapeutic interventions.</AbstractText><CopyrightInformation>© 2021 The Author(s).</CopyrightInformation></Abstract>",0,2021-06-17 00:00:00
159238,34433007,10.1164/rccm.202107-1790ED,American journal of respiratory and critical care medicine,United States,Seek and Ye Shall Find: COVID-19 and Bacterial Superinfection.,"Georgios D Kitsios, Alison Morris","<?xml version=""1.0""?>
<p/>
",0,2021-08-25 00:00:00
36239,33486916,10.3906/sag-2012-141,Turkish journal of medical sciences,Turkey,Letter to Article: COVID 19 SCIENTIFIC PUBLICATIONS FROM TURKEY.,OĞuz Abdullah UyaroĞlu,"<Abstract>
                <AbstractText>Not needed.</AbstractText>
            </Abstract>",0,2021-01-24 00:00:00
54149,33269353,10.1101/2020.11.20.392126,bioRxiv : the preprint server for biology,United States,Timing the SARS-CoV-2 Index Case in Hubei Province.,"Jonathan Pekar, Michael Worobey, Niema Moshiri, Konrad Scheffler, Joel O Wertheim","<Abstract>
                <AbstractText>Understanding when SARS-CoV-2 emerged is critical to evaluating our current approach to monitoring novel zoonotic pathogens and understanding the failure of early containment and mitigation efforts for COVID-19. We employed a coalescent framework to combine retrospective molecular clock inference with forward epidemiological simulations to determine how long SARS-CoV-2 could have circulated prior to the time of the most recent common ancestor. Our results define the period between mid-October and mid-November 2019 as the plausible interval when the first case of SARS-CoV-2 emerged in Hubei province. By characterizing the likely dynamics of the virus before it was discovered, we show that over two-thirds of SARS-CoV-2-like zoonotic events would be self-limited, dying out without igniting a pandemic. Our findings highlight the shortcomings of zoonosis surveillance approaches for detecting highly contagious pathogens with moderate mortality rates.</AbstractText>
            </Abstract>",0,2021-04-23 00:00:00
88676,32711715,10.1016/S2215-0366(20)30252-2,The lancet. Psychiatry,England,Caregivers of people with severe mental illness in the COVID-19 pandemic.,Jens Peter Eckardt,"<?xml version=""1.0""?>
<p/>
",4,2021-01-10 00:00:00
