content,score,date,word_count
"""suspicious account activity detected"" what a joke if I can open the email then why do I need to do a bunch of security prompts and then at the very end be forced to change my PW for an account that was never at risk. As I said before what a joke..",1,2024-11-23 09:51:27,52
"I have changed my phone. On reinstalling the PayPal app on the new phone, after giving my email address and password, I get ""Just a second.."" and a spinning icon, but it never gets past there. I've tried uninstalling, reinstalling, restarting phone, many times. Same result.",1,2024-11-23 09:44:16,46
"Absolute trash, it insists I live in the US and won't let me change it and when I do need to use the service it won't let me log in without verification which I did and then it fails tells me to contact customer support and they can't help me",1,2024-11-23 06:58:48,50
"Been using PayPal for years, this recent update sucks. After I updated it I decided to transfer my funds to my bank account like I always do. My bank account is gone from my wallet. Weird. Then I tried on both laptop AND phone to re-link my bank using sign-in credentials AND manual routing/account numbers and I still could not relink my bank account. Now I got over 200 bucks sitting in my PayPal account, and no I don't want a paper check I want my 1-3 business day transfers with zero fees again",1,2024-11-23 06:39:16,94
It's been 6 hour I am trying to reach u all . My account hacked someone change my email address I received an email u changed your email and after that suddemly I tried to report no any option how will I report if I can't log in .I tried from another paypal that one also hacked I have my money there .please help me to get my money and account back .I am using it more than 5 years and now it's like this why reply asap .,1,2024-11-23 05:02:56,89
"What the heck happened to PayPal?? I open the app to make a simple payment and in getting all kinds of advertising BY PAYPAL, that I have to close then, then close the next one. Only to get to page that looks like Amazon, then have to search to figure out if it's even possible to use it as a payment platform... No wonder most people don't use PayPal anymore. 30 more clicks to make a simple payment than Venmo or CashApp. We can throw PayPal in the trash bin of history...",1,2024-11-23 04:17:06,92
Would leave no stars if possible. It keeps on locking me out of my account I even tired making a new account but right after I signed up my account was permanently locked and it wouldn't even let me delete my account. By far one of the worst mobile banking apps I have ever tried do not use,1,2024-11-23 03:53:45,58
You people are the worst card company to go through you guys close my account due to a false allegation and take my money and hold it for $180 days don't know what I need it for I would never refer anybody to you and I'm going to make sure I tell everybody not to use PayPal,1,2024-11-23 01:21:57,57
"This is a scam, my sister transferred some money form the US and the PayPal has permanently put a limitations on the funds, there is no was I can access to the customer service, it's so hard to reach to someone to resolve it or to get an explanation, ones U use this app to transfer or receive money U r on their Marcy, PayPal decides if U gonna get the money or not and when, I will never ever recommend PayPal to anyone, please stay away from this platform to send to receive money,",1,2024-11-22 23:34:55,95
"My account has been permanently limited, even though I’m new to PayPal. I haven’t made or received any payments, nor have I linked a card, yet my account was restricted. Please address this issue so I can provide positive feedback and reviews about your services to other users.",1,2024-11-22 21:48:06,48
"It sends the code to my phone i enter it then ""you can't leave it empty""! tried copying the code, entering through keyboard, on app/browser, same sorry a.. error!! unable to conduct my business cause of this nonsense! Upon trying to login several times then ""we've locked your account for trying to login several times! Try again later!"" How do you have an error in verifying a code PAYPAL sends to begin with! Fix it! + can't take screenshots of TRANSACTIONS ON MY OWN ACCOUNT!! WHAT SECURITY BS !!",2,2024-11-22 21:41:28,89
I might have fraud going on my account because about a week ago I 9.21 in my account and when I went to check I had 13.47 in it which shouldn't have and then I went to the store I spent 7.49 then afterwards I had only 1.21 left and .30 cents missing. I reported it and they rejected it.,2,2024-11-22 12:06:34,60
"Borderline impossible to use. I tried to sign up using my credit card, everything seemed fine until I got my first transaction. Suddenly my account is limited and they need my passport and bank statements for my address. I tried to cancel my account because I like my data privacy, I can't because my account is limited. I try to call, the number is down. Currently attempting again to get my account shut down.",1,2024-11-22 10:37:51,74
"This app is horrible optimized. You might imine the app for 2 seconds, and you have to restart whatever process you were going through on the app, not to mention half the time the app is stuck in an infinite loading loop. Worse yet, is trying to use the resolution center via the app. Trying to reply to a seller is extremely frustrating. You can't see what you're typing, and if you rotate the screen, everything you've wrote gets deleted.",1,2024-11-22 10:21:12,80
"Full of bugs. No option to submit bugs or way to contact. Parsing of the keyboard input for a money transfer from the wallet to one's bank account doesn't work. It can't handle single digit inputs. Try transferring 7€ but the app will make 700€ out of it. Doesn't matter if you input 7,00 | 007 | 7.00. Changing the language of the keyboard, using a different one won't fix the issue. No way to change app language nor change screenshot security setting. No darkmode",1,2024-11-22 05:50:37,85
I can't even with this app. Instead of being helpful I'm forced to log in get a verification code so many times PayPal tried to force me to change my password. Can't PayPal figure themselves or instead of wasting my time.,1,2024-11-22 03:51:02,41
"I've been using paypal occasionally for several months without any issues until today 11/21. I transferred about $200 to my paypal account to pay a bill. Then I tried to pay my bill using paypal but it kept getting declined. Now I can't even sign into my account. I'm very upset! Now I have to wait until paypal customer service is available at 9am est. It's unfortunate that they don't have 24hr support. What a huge inconvenience! **Update: Minutes after this review, the issue was fixed.",2,2024-11-21 22:17:44,86
⚠️ WARNING ⚠️ STEALS INFORMATION AND LOCKS YOU OUT OF UR ACCOUNT... LOST ALL MY MONEY BECAUSE OF THIS TRASH APP. I WILL BE SUEING THEM YES. SAYS I CANT EVEN SIGN INTO MY ACCOUNT ANYMORE!!! ⚠️ILLEGALLY OPERATING⚠️ think someone needs to bomb their facility.,1,2024-11-21 21:35:37,45
